authorID,conferenceID,chairID
a11336,c4,chair10
a55497,c4,chair10
a40620,c4,chair10
a37115,c4,chair10
a53453,c4,chair10
a86149,c4,chair10
a14544,c106,chair11
a85135,c106,chair11
a49491,c106,chair11
a52728,c106,chair11
a57250,c106,chair11
a13924,c106,chair11
a78921,c106,chair11
a59913,c106,chair11
a72058,c106,chair11
a71893,c106,chair11
a66187,c195,chair12
a90845,c195,chair12
a49311,c195,chair12
a1815,c195,chair12
a30187,c195,chair12
a15702,c195,chair12
a40052,c195,chair12
a15482,c195,chair12
a104603,c195,chair12
a73597,c195,chair12
a85207,c95,chair13
a54243,c95,chair13
a5854,c95,chair13
a3011,c95,chair13
a11951,c95,chair13
a25899,c95,chair13
a39594,c95,chair13
a84986,c95,chair13
a86252,c95,chair13
a98729,c95,chair13
a60571,c158,chair14
a79633,c158,chair14
a25779,c158,chair14
a57462,c158,chair14
a76873,c158,chair14
a74894,c158,chair14
a100046,c158,chair14
a69047,c158,chair14
a70869,c158,chair14
a88417,c158,chair14
a100051,c174,chair15
a5406,c174,chair15
a76689,c174,chair15
a54247,c174,chair15
a80375,c174,chair15
a69884,c174,chair15
a97787,c174,chair15
a57258,c174,chair15
a25810,c174,chair15
a5719,c174,chair15
a67510,c31,chair16
a1824,c31,chair16
a63861,c31,chair16
a84190,c31,chair16
a100982,c31,chair16
a104815,c31,chair16
a66088,c31,chair16
a64128,c31,chair16
a74110,c31,chair16
a11554,c31,chair16
a28856,c108,chair17
a68716,c108,chair17
a46860,c108,chair17
a14664,c108,chair17
a95962,c108,chair17
a63850,c108,chair17
a39540,c108,chair17
a58578,c108,chair17
a94578,c108,chair17
a69189,c108,chair17
a55680,c67,chair18
a5743,c67,chair18
a104278,c67,chair18
a26280,c67,chair18
a105433,c67,chair18
a102728,c67,chair18
a19221,c67,chair18
a52731,c67,chair18
a48705,c67,chair18
a16842,c67,chair18
a100038,c219,chair19
a12000,c219,chair19
a85960,c219,chair19
a6138,c219,chair19
a32385,c219,chair19
a69378,c219,chair19
a51804,c219,chair19
a54793,c219,chair19
a61912,c219,chair19
a103594,c219,chair19
a35908,c150,chair20
a82616,c150,chair20
a93866,c150,chair20
a13741,c150,chair20
a12153,c150,chair20
a36435,c150,chair20
a62385,c150,chair20
a44375,c150,chair20
a60871,c150,chair20
a42015,c150,chair20
a79492,c34,chair21
a29435,c34,chair21
a86227,c34,chair21
a76878,c34,chair21
a61151,c34,chair21
a44290,c34,chair21
a37141,c34,chair21
a1860,c34,chair21
a95462,c34,chair21
a74605,c34,chair21
a94402,c166,chair22
a10630,c166,chair22
a102104,c166,chair22
a91958,c166,chair22
a13506,c166,chair22
a23708,c166,chair22
a48027,c166,chair22
a59775,c166,chair22
a49682,c166,chair22
a30181,c166,chair22
a28717,c172,chair23
a97761,c172,chair23
a7095,c172,chair23
a102614,c172,chair23
a5619,c172,chair23
a102836,c172,chair23
a61034,c172,chair23
a80745,c172,chair23
a13946,c172,chair23
a19934,c172,chair23
a87230,c44,chair24
a5104,c44,chair24
a77250,c44,chair24
a51778,c44,chair24
a79752,c44,chair24
a5146,c44,chair24
a59816,c44,chair24
a33495,c44,chair24
a19690,c44,chair24
a103092,c44,chair24
a71389,c138,chair25
a10299,c138,chair25
a37164,c138,chair25
a67835,c138,chair25
a93159,c138,chair25
a98416,c138,chair25
a22125,c138,chair25
a36058,c138,chair25
a29413,c138,chair25
a17502,c138,chair25
a93356,c221,chair26
a18275,c221,chair26
a46160,c221,chair26
a102698,c221,chair26
a2436,c221,chair26
a75957,c221,chair26
a9573,c221,chair26
a103855,c221,chair26
a19022,c221,chair26
a71593,c221,chair26
a29699,c222,chair27
a71430,c222,chair27
a64483,c222,chair27
a104862,c222,chair27
a49125,c222,chair27
a74819,c222,chair27
a48254,c222,chair27
a88248,c222,chair27
a89577,c222,chair27
a35904,c222,chair27
a22116,c18,chair28
a57967,c18,chair28
a96562,c18,chair28
a63448,c18,chair28
a5178,c18,chair28
a85204,c18,chair28
a33656,c18,chair28
a1938,c18,chair28
a94708,c18,chair28
a55203,c18,chair28
a91323,c208,chair29
a81809,c208,chair29
a49951,c208,chair29
a88238,c208,chair29
a17037,c208,chair29
a56582,c208,chair29
a48618,c208,chair29
a93961,c208,chair29
a71935,c208,chair29
a47651,c208,chair29
a35130,c145,chair30
a71285,c145,chair30
a87529,c145,chair30
a16879,c145,chair30
a105632,c145,chair30
a12548,c145,chair30
a15937,c145,chair30
a77684,c145,chair30
a50731,c145,chair30
a71268,c145,chair30
a23591,c216,chair31
a41550,c216,chair31
a27876,c216,chair31
a63978,c216,chair31
a28175,c216,chair31
a78792,c216,chair31
a84065,c216,chair31
a45042,c216,chair31
a98285,c216,chair31
a28291,c216,chair31
a51373,c110,chair32
a93113,c110,chair32
a62828,c110,chair32
a99859,c110,chair32
a40261,c110,chair32
a84405,c110,chair32
a35267,c110,chair32
a53217,c110,chair32
a34724,c110,chair32
a67654,c110,chair32
a53268,c19,chair33
a29588,c19,chair33
a48236,c19,chair33
a83562,c19,chair33
a33017,c19,chair33
a99127,c19,chair33
a85248,c19,chair33
a47799,c19,chair33
a28533,c19,chair33
a29133,c19,chair33
a100222,c84,chair34
a105228,c84,chair34
a58776,c84,chair34
a80719,c84,chair34
a38713,c84,chair34
a75238,c84,chair34
a63407,c84,chair34
a18352,c84,chair34
a16540,c84,chair34
a29835,c84,chair34
a82462,c91,chair35
a61180,c91,chair35
a87998,c91,chair35
a38845,c91,chair35
a76085,c91,chair35
a77489,c91,chair35
a35,c91,chair35
a75178,c91,chair35
a33255,c91,chair35
a32582,c91,chair35
a78979,c33,chair36
a76410,c33,chair36
a7950,c33,chair36
a96650,c33,chair36
a30167,c33,chair36
a7423,c33,chair36
a56394,c33,chair36
a42324,c33,chair36
a62192,c33,chair36
a88375,c33,chair36
a41886,c51,chair37
a90550,c51,chair37
a2339,c51,chair37
a20492,c51,chair37
a58934,c51,chair37
a30463,c51,chair37
a66338,c51,chair37
a36546,c51,chair37
a76624,c51,chair37
a33283,c51,chair37
a11407,c35,chair38
a61999,c35,chair38
a93213,c35,chair38
a30612,c35,chair38
a2447,c35,chair38
a78196,c35,chair38
a15194,c35,chair38
a38974,c35,chair38
a51600,c35,chair38
a59809,c35,chair38
a61218,c11,chair39
a12077,c11,chair39
a82375,c11,chair39
a103004,c11,chair39
a104401,c11,chair39
a51135,c11,chair39
a33019,c11,chair39
a46532,c11,chair39
a7215,c11,chair39
a35222,c11,chair39
a4911,c29,chair40
a27466,c29,chair40
a42535,c29,chair40
a50718,c29,chair40
a7646,c29,chair40
a42885,c29,chair40
a56403,c29,chair40
a94464,c29,chair40
a87787,c29,chair40
a66672,c29,chair40
a37233,c0,chair41
a74817,c0,chair41
a99029,c0,chair41
a41674,c0,chair41
a24008,c0,chair41
a54627,c0,chair41
a53903,c0,chair41
a51387,c0,chair41
a33356,c0,chair41
a17092,c0,chair41
a32878,c206,chair42
a51463,c206,chair42
a90470,c206,chair42
a72070,c206,chair42
a94118,c206,chair42
a1318,c206,chair42
a104270,c206,chair42
a20255,c206,chair42
a2888,c206,chair42
a10240,c206,chair42
a33861,c212,chair43
a97159,c212,chair43
a49840,c212,chair43
a38717,c212,chair43
a35635,c212,chair43
a49519,c212,chair43
a8633,c212,chair43
a60243,c212,chair43
a33471,c212,chair43
a55493,c212,chair43
a54976,c191,chair44
a29503,c191,chair44
a85708,c191,chair44
a25783,c191,chair44
a31880,c191,chair44
a47100,c191,chair44
a11177,c191,chair44
a42638,c191,chair44
a38109,c191,chair44
a47436,c191,chair44
a62762,c85,chair45
a6091,c85,chair45
a50746,c85,chair45
a41995,c85,chair45
a94879,c85,chair45
a22276,c85,chair45
a28809,c85,chair45
a51620,c85,chair45
a97855,c85,chair45
a22048,c85,chair45
a31067,c28,chair46
a49538,c28,chair46
a65255,c28,chair46
a41412,c28,chair46
a38726,c28,chair46
a82452,c28,chair46
a83675,c28,chair46
a77958,c28,chair46
a42826,c28,chair46
a88102,c28,chair46
a80563,c16,chair47
a59774,c16,chair47
a20944,c16,chair47
a52539,c16,chair47
a26438,c16,chair47
a94941,c16,chair47
a36096,c16,chair47
a2662,c16,chair47
a103203,c16,chair47
a51183,c16,chair47
a21231,c117,chair48
a14736,c117,chair48
a99912,c117,chair48
a25859,c117,chair48
a8277,c117,chair48
a39762,c117,chair48
a37149,c117,chair48
a86118,c117,chair48
a4684,c117,chair48
a84825,c117,chair48
a7757,c159,chair49
a44817,c159,chair49
a18078,c159,chair49
a101959,c159,chair49
a87927,c159,chair49
a95603,c159,chair49
a86975,c159,chair49
a60163,c159,chair49
a59029,c159,chair49
a59226,c159,chair49
a61660,c73,chair50
a20847,c73,chair50
a52617,c73,chair50
a83042,c73,chair50
a60063,c73,chair50
a65366,c73,chair50
a39480,c73,chair50
a92392,c73,chair50
a7301,c73,chair50
a96593,c73,chair50
a33454,c58,chair51
a39144,c58,chair51
a9268,c58,chair51
a278,c58,chair51
a30123,c58,chair51
a60023,c58,chair51
a65361,c58,chair51
a103867,c58,chair51
a62079,c58,chair51
a55263,c58,chair51
a33395,c123,chair52
a72846,c123,chair52
a14476,c123,chair52
a17765,c123,chair52
a79289,c123,chair52
a78825,c123,chair52
a1002,c123,chair52
a36520,c123,chair52
a92523,c123,chair52
a89543,c123,chair52
a46256,c47,chair53
a28045,c47,chair53
a77427,c47,chair53
a73874,c47,chair53
a12162,c47,chair53
a99486,c47,chair53
a39578,c47,chair53
a12599,c47,chair53
a68952,c47,chair53
a11906,c47,chair53
a102613,c78,chair54
a11402,c78,chair54
a3182,c78,chair54
a41222,c78,chair54
a27291,c78,chair54
a37799,c78,chair54
a40111,c78,chair54
a34177,c78,chair54
a85995,c78,chair54
a60395,c78,chair54
a80466,c183,chair55
a44966,c183,chair55
a62822,c183,chair55
a47144,c183,chair55
a58800,c183,chair55
a56596,c183,chair55
a48594,c183,chair55
a82658,c183,chair55
a71764,c183,chair55
a77204,c183,chair55
a58625,c27,chair56
a95151,c27,chair56
a26031,c27,chair56
a96719,c27,chair56
a12847,c27,chair56
a52411,c27,chair56
a99302,c27,chair56
a14149,c27,chair56
a66357,c27,chair56
a18116,c27,chair56
a13190,c226,chair57
a60577,c226,chair57
a1116,c226,chair57
a54662,c226,chair57
a16349,c226,chair57
a94649,c226,chair57
a46286,c226,chair57
a3337,c226,chair57
a76678,c226,chair57
a74643,c226,chair57
a104132,c40,chair58
a43191,c40,chair58
a25964,c40,chair58
a86637,c40,chair58
a25197,c40,chair58
a29275,c40,chair58
a57445,c40,chair58
a85763,c40,chair58
a99238,c40,chair58
a54972,c40,chair58
a21907,c223,chair59
a103778,c223,chair59
a77598,c223,chair59
a84096,c223,chair59
a94816,c223,chair59
a81624,c223,chair59
a23776,c223,chair59
a89176,c223,chair59
a23367,c223,chair59
a75887,c223,chair59
a70860,c69,chair60
a100291,c69,chair60
a466,c69,chair60
a85278,c69,chair60
a15902,c69,chair60
a34445,c69,chair60
a28815,c69,chair60
a24896,c69,chair60
a29137,c69,chair60
a80456,c69,chair60
a100204,c228,chair61
a44203,c228,chair61
a19926,c228,chair61
a15321,c228,chair61
a16563,c228,chair61
a42421,c228,chair61
a6367,c228,chair61
a27283,c228,chair61
a86726,c228,chair61
a20928,c228,chair61
a88418,c227,chair62
a21884,c227,chair62
a12962,c227,chair62
a71858,c227,chair62
a30969,c227,chair62
a72047,c227,chair62
a85533,c227,chair62
a44136,c227,chair62
a89967,c227,chair62
a67251,c227,chair62
a48641,c184,chair63
a96699,c184,chair63
a67152,c184,chair63
a76331,c184,chair63
a23468,c184,chair63
a1599,c184,chair63
a23186,c184,chair63
a8518,c184,chair63
a6071,c184,chair63
a90687,c184,chair63
a74340,c189,chair64
a18771,c189,chair64
a33685,c189,chair64
a65528,c189,chair64
a43632,c189,chair64
a15766,c189,chair64
a82591,c189,chair64
a26337,c189,chair64
a53584,c189,chair64
a41496,c189,chair64
a102960,c162,chair65
a10849,c162,chair65
a67206,c162,chair65
a6728,c162,chair65
a52246,c162,chair65
a33591,c162,chair65
a4475,c162,chair65
a89128,c162,chair65
a68701,c162,chair65
a70861,c162,chair65
a79842,c164,chair66
a94608,c164,chair66
a49499,c164,chair66
a102028,c164,chair66
a34316,c164,chair66
a86731,c164,chair66
a23469,c164,chair66
a95722,c164,chair66
a21439,c164,chair66
a5276,c164,chair66
a63940,c88,chair67
a65767,c88,chair67
a76447,c88,chair67
a26780,c88,chair67
a60756,c88,chair67
a45353,c88,chair67
a22711,c88,chair67
a75693,c88,chair67
a89646,c88,chair67
a36832,c88,chair67
a1862,c59,chair68
a52309,c59,chair68
a88333,c59,chair68
a85833,c59,chair68
a4900,c59,chair68
a105549,c59,chair68
a48480,c59,chair68
a92632,c59,chair68
a13995,c59,chair68
a40174,c59,chair68
a74936,c132,chair69
a78667,c132,chair69
a10403,c132,chair69
a2029,c132,chair69
a22853,c132,chair69
a86466,c132,chair69
a76648,c132,chair69
a4656,c132,chair69
a103865,c132,chair69
a43802,c132,chair69
a62942,c210,chair70
a13198,c210,chair70
a94675,c210,chair70
a63836,c210,chair70
a89125,c210,chair70
a52242,c210,chair70
a36493,c210,chair70
a92806,c210,chair70
a60437,c210,chair70
a87377,c210,chair70
a24196,c185,chair71
a73456,c185,chair71
a78024,c185,chair71
a50146,c185,chair71
a66440,c185,chair71
a17368,c185,chair71
a11014,c185,chair71
a32444,c185,chair71
a66559,c185,chair71
a75798,c185,chair71
a52857,c116,chair72
a75736,c116,chair72
a56223,c116,chair72
a49718,c116,chair72
a104387,c116,chair72
a80936,c116,chair72
a14317,c116,chair72
a93732,c116,chair72
a70398,c116,chair72
a3915,c116,chair72
a55538,c14,chair73
a55281,c14,chair73
a17965,c14,chair73
a52004,c14,chair73
a83889,c14,chair73
a43221,c14,chair73
a16866,c14,chair73
a16604,c14,chair73
a33684,c14,chair73
a1635,c14,chair73
a94395,c148,chair74
a65953,c148,chair74
a77526,c148,chair74
a11922,c148,chair74
a16845,c148,chair74
a83613,c148,chair74
a49637,c148,chair74
a78374,c148,chair74
a49814,c148,chair74
a37130,c148,chair74
a17163,c21,chair75
a20921,c21,chair75
a100365,c21,chair75
a42953,c21,chair75
a27496,c21,chair75
a76775,c21,chair75
a44986,c21,chair75
a23628,c21,chair75
a90189,c21,chair75
a35052,c21,chair75
a90248,c56,chair76
a84104,c56,chair76
a68327,c56,chair76
a50928,c56,chair76
a73560,c56,chair76
a32342,c56,chair76
a33271,c56,chair76
a14667,c56,chair76
a15252,c56,chair76
a22739,c56,chair76
a20174,c198,chair77
a10399,c198,chair77
a57011,c198,chair77
a50976,c198,chair77
a76568,c198,chair77
a20799,c198,chair77
a39370,c198,chair77
a83144,c198,chair77
a95642,c198,chair77
a70989,c198,chair77
a7149,c55,chair78
a37641,c55,chair78
a22767,c55,chair78
a55108,c55,chair78
a19161,c55,chair78
a79325,c55,chair78
a82387,c55,chair78
a104108,c55,chair78
a53773,c55,chair78
a95596,c55,chair78
a72786,c99,chair79
a1387,c99,chair79
a10835,c99,chair79
a78366,c99,chair79
a105038,c99,chair79
a29855,c99,chair79
a87981,c99,chair79
a876,c99,chair79
a74889,c99,chair79
a73122,c99,chair79
a67362,c53,chair80
a100554,c53,chair80
a103590,c53,chair80
a52109,c53,chair80
a9845,c53,chair80
a103080,c53,chair80
a87450,c53,chair80
a29521,c53,chair80
a66147,c53,chair80
a4337,c53,chair80
a57741,c119,chair81
a105068,c119,chair81
a99953,c119,chair81
a90689,c119,chair81
a80790,c119,chair81
a50207,c119,chair81
a69111,c119,chair81
a66127,c119,chair81
a32462,c119,chair81
a101532,c119,chair81
a48489,c163,chair82
a42887,c163,chair82
a100677,c163,chair82
a19443,c163,chair82
a7363,c163,chair82
a79501,c163,chair82
a75608,c163,chair82
a54358,c163,chair82
a76640,c163,chair82
a12401,c163,chair82
a70368,c90,chair83
a21176,c90,chair83
a87682,c90,chair83
a14107,c90,chair83
a76442,c90,chair83
a73444,c90,chair83
a37751,c90,chair83
a63036,c90,chair83
a9889,c90,chair83
a47608,c90,chair83
a69365,c168,chair84
a80956,c168,chair84
a70813,c168,chair84
a92433,c168,chair84
a28624,c168,chair84
a73498,c168,chair84
a63636,c168,chair84
a17694,c168,chair84
a83864,c168,chair84
a5438,c168,chair84
a57729,c42,chair85
a87465,c42,chair85
a82057,c42,chair85
a44979,c42,chair85
a20061,c42,chair85
a31631,c42,chair85
a72355,c42,chair85
a55088,c42,chair85
a16305,c42,chair85
a58341,c42,chair85
a26168,c17,chair86
a41825,c17,chair86
a100267,c17,chair86
a505,c17,chair86
a39439,c17,chair86
a22271,c17,chair86
a28319,c17,chair86
a77715,c17,chair86
a85129,c17,chair86
a69554,c17,chair86
a69342,c5,chair87
a47885,c5,chair87
a73054,c5,chair87
a71209,c5,chair87
a33765,c5,chair87
a60476,c5,chair87
a24385,c5,chair87
a45595,c5,chair87
a37665,c5,chair87
a95334,c5,chair87
a96505,c171,chair88
a43125,c171,chair88
a34917,c171,chair88
a86792,c171,chair88
a17359,c171,chair88
a97220,c171,chair88
a88392,c171,chair88
a61946,c171,chair88
a80047,c171,chair88
a38500,c171,chair88
a83266,c102,chair89
a13396,c102,chair89
a77980,c102,chair89
a72647,c102,chair89
a26677,c102,chair89
a9454,c102,chair89
a21006,c102,chair89
a83691,c102,chair89
a96549,c102,chair89
a69018,c102,chair89
a10850,c48,chair90
a36204,c48,chair90
a49958,c48,chair90
a5428,c48,chair90
a88584,c48,chair90
a84322,c48,chair90
a44926,c48,chair90
a5581,c48,chair90
a10424,c48,chair90
a2724,c48,chair90
a53234,c186,chair91
a71742,c186,chair91
a8822,c186,chair91
a76909,c186,chair91
a57509,c186,chair91
a87284,c186,chair91
a36879,c186,chair91
a65530,c186,chair91
a72344,c186,chair91
a20996,c186,chair91
a21680,c66,chair92
a12187,c66,chair92
a41551,c66,chair92
a54355,c66,chair92
a60316,c66,chair92
a87366,c66,chair92
a60660,c66,chair92
a17954,c66,chair92
a70725,c66,chair92
a35462,c66,chair92
a49371,c70,chair93
a75032,c70,chair93
a30854,c70,chair93
a39292,c70,chair93
a70132,c70,chair93
a85293,c70,chair93
a78161,c70,chair93
a10829,c70,chair93
a97895,c70,chair93
a25889,c70,chair93
a65504,c224,chair94
a104606,c224,chair94
a99627,c224,chair94
a58564,c224,chair94
a18023,c224,chair94
a85871,c224,chair94
a77469,c224,chair94
a34211,c224,chair94
a52207,c224,chair94
a92166,c224,chair94
a51785,c127,chair95
a84524,c127,chair95
a8246,c127,chair95
a21350,c127,chair95
a65194,c127,chair95
a52220,c127,chair95
a22661,c127,chair95
a31387,c127,chair95
a78514,c127,chair95
a37270,c127,chair95
a50429,c120,chair96
a80998,c120,chair96
a19729,c120,chair96
a63538,c120,chair96
a37016,c120,chair96
a99591,c120,chair96
a6184,c120,chair96
a19261,c120,chair96
a99383,c120,chair96
a59206,c120,chair96
a80873,c54,chair97
a75091,c54,chair97
a33821,c54,chair97
a35293,c54,chair97
a57551,c54,chair97
a102668,c54,chair97
a64968,c54,chair97
a56542,c54,chair97
a82546,c54,chair97
a81851,c54,chair97
a62191,c118,chair98
a16774,c118,chair98
a73833,c118,chair98
a39409,c118,chair98
a32153,c118,chair98
a43859,c118,chair98
a85410,c118,chair98
a35466,c118,chair98
a98756,c118,chair98
a83912,c118,chair98
a91851,c98,chair99
a103935,c98,chair99
a102382,c98,chair99
a50334,c98,chair99
a35190,c98,chair99
a16222,c98,chair99
a63431,c98,chair99
a97293,c98,chair99
a15798,c98,chair99
a48571,c98,chair99
a72885,c122,chair100
a14556,c122,chair100
a99288,c122,chair100
a52577,c122,chair100
a32633,c122,chair100
a96521,c122,chair100
a42304,c122,chair100
a70386,c122,chair100
a11081,c122,chair100
a75853,c122,chair100
a39694,c201,chair101
a85979,c201,chair101
a20197,c201,chair101
a19712,c201,chair101
a95396,c201,chair101
a73320,c201,chair101
a48403,c201,chair101
a71297,c201,chair101
a27918,c201,chair101
a78509,c201,chair101
a36882,c97,chair102
a15012,c97,chair102
a1880,c97,chair102
a100149,c97,chair102
a16624,c97,chair102
a9467,c97,chair102
a98245,c97,chair102
a89754,c97,chair102
a66115,c97,chair102
a34606,c97,chair102
a94587,c188,chair103
a29823,c188,chair103
a72057,c188,chair103
a79209,c188,chair103
a87785,c188,chair103
a45324,c188,chair103
a80364,c188,chair103
a44043,c188,chair103
a83212,c188,chair103
a31187,c188,chair103
a75598,c114,chair104
a93284,c114,chair104
a72517,c114,chair104
a84570,c114,chair104
a22311,c114,chair104
a100241,c114,chair104
a92245,c114,chair104
a46522,c114,chair104
a66070,c114,chair104
a102323,c114,chair104
a5709,c105,chair105
a38295,c105,chair105
a46222,c105,chair105
a28458,c105,chair105
a89331,c105,chair105
a64474,c105,chair105
a84636,c105,chair105
a4801,c105,chair105
a24065,c105,chair105
a102943,c105,chair105
a103756,c193,chair106
a88541,c193,chair106
a28679,c193,chair106
a59837,c193,chair106
a40623,c193,chair106
a98271,c193,chair106
a59681,c193,chair106
a40608,c193,chair106
a28392,c193,chair106
a98920,c193,chair106
a22919,c94,chair107
a16408,c94,chair107
a75005,c94,chair107
a21212,c94,chair107
a9206,c94,chair107
a29628,c94,chair107
a29233,c94,chair107
a101540,c94,chair107
a3282,c94,chair107
a3137,c94,chair107
a39918,c220,chair108
a52341,c220,chair108
a33894,c220,chair108
a61188,c220,chair108
a20759,c220,chair108
a36220,c220,chair108
a43279,c220,chair108
a36332,c220,chair108
a46383,c220,chair108
a37527,c220,chair108
a92547,c12,chair109
a15815,c12,chair109
a84468,c12,chair109
a96104,c12,chair109
a5759,c12,chair109
a24506,c12,chair109
a40772,c12,chair109
a97982,c12,chair109
a14195,c12,chair109
a38594,c12,chair109
a72734,c165,chair110
a29522,c165,chair110
a45625,c165,chair110
a91876,c165,chair110
a56696,c165,chair110
a97260,c165,chair110
a70056,c165,chair110
a78962,c165,chair110
a32055,c165,chair110
a21731,c165,chair110
a39155,c130,chair111
a3434,c130,chair111
a67779,c130,chair111
a14727,c130,chair111
a56990,c130,chair111
a34348,c130,chair111
a105619,c130,chair111
a13075,c130,chair111
a18418,c130,chair111
a90917,c130,chair111
a59210,c147,chair112
a42663,c147,chair112
a54133,c147,chair112
a15938,c147,chair112
a6329,c147,chair112
a75363,c147,chair112
a99346,c147,chair112
a99347,c147,chair112
a48529,c147,chair112
a88507,c147,chair112
a78622,c211,chair113
a13132,c211,chair113
a85012,c211,chair113
a56426,c211,chair113
a97151,c211,chair113
a95523,c211,chair113
a29953,c211,chair113
a103036,c211,chair113
a40853,c211,chair113
a35078,c211,chair113
a19211,c180,chair114
a85963,c180,chair114
a37221,c180,chair114
a72143,c180,chair114
a8213,c180,chair114
a56297,c180,chair114
a64423,c180,chair114
a8592,c180,chair114
a49006,c180,chair114
a18718,c180,chair114
a70424,c161,chair115
a46227,c161,chair115
a82390,c161,chair115
a6933,c161,chair115
a26561,c161,chair115
a86309,c161,chair115
a84987,c161,chair115
a65918,c161,chair115
a87339,c161,chair115
a13738,c161,chair115
a64909,c81,chair116
a18596,c81,chair116
a22889,c81,chair116
a61020,c81,chair116
a52194,c81,chair116
a91871,c81,chair116
a12576,c81,chair116
a44751,c81,chair116
a100440,c81,chair116
a80689,c81,chair116
a47245,c151,chair117
a77953,c151,chair117
a102743,c151,chair117
a16725,c151,chair117
a60807,c151,chair117
a100343,c151,chair117
a30381,c151,chair117
a64020,c151,chair117
a31273,c151,chair117
a97281,c151,chair117
a38645,c152,chair118
a64872,c152,chair118
a16615,c152,chair118
a23661,c152,chair118
a37857,c152,chair118
a88872,c152,chair118
a35678,c152,chair118
a62381,c152,chair118
a41156,c152,chair118
a95910,c152,chair118
a105806,c13,chair119
a42031,c13,chair119
a63899,c13,chair119
a29199,c13,chair119
a47107,c13,chair119
a65809,c13,chair119
a57733,c13,chair119
a78577,c13,chair119
a18751,c13,chair119
a98900,c13,chair119
a20992,c218,chair120
a67111,c218,chair120
a59941,c218,chair120
a66119,c218,chair120
a73766,c218,chair120
a17170,c218,chair120
a35129,c218,chair120
a10813,c218,chair120
a36406,c218,chair120
a62927,c218,chair120
a75421,c82,chair121
a3027,c82,chair121
a16577,c82,chair121
a81584,c82,chair121
a17136,c82,chair121
a98213,c82,chair121
a35054,c82,chair121
a57311,c82,chair121
a77979,c82,chair121
a73055,c82,chair121
a85003,c112,chair122
a103947,c112,chair122
a74872,c112,chair122
a59242,c112,chair122
a34351,c112,chair122
a46645,c112,chair122
a60605,c112,chair122
a91812,c112,chair122
a104112,c112,chair122
a15044,c112,chair122
a60024,c209,chair123
a101127,c209,chair123
a89166,c209,chair123
a2741,c209,chair123
a73138,c209,chair123
a96161,c209,chair123
a80293,c209,chair123
a19294,c209,chair123
a41351,c209,chair123
a15340,c209,chair123
a27958,c205,chair124
a61310,c205,chair124
a31685,c205,chair124
a67661,c205,chair124
a2323,c205,chair124
a81173,c205,chair124
a80814,c205,chair124
a46188,c205,chair124
a100838,c205,chair124
a38113,c205,chair124
a99148,c45,chair125
a22317,c45,chair125
a72180,c45,chair125
a44062,c45,chair125
a9122,c45,chair125
a60906,c45,chair125
a81191,c45,chair125
a83367,c45,chair125
a57644,c45,chair125
a7520,c45,chair125
a57361,c167,chair126
a342,c167,chair126
a67911,c167,chair126
a647,c167,chair126
a30127,c167,chair126
a17969,c167,chair126
a52382,c167,chair126
a82679,c167,chair126
a86595,c167,chair126
a1370,c167,chair126
