journalID,authorID,editorID
j3894,a6125,chair99
j6636,a20686,chair100
j12209,a23212,chair101
j596,a54670,chair102
j15216,a101290,chair103
j9624,a15010,chair104
j12787,a57752,chair105
j18434,a93620,chair106
j168,a15084,chair107
j11635,a95987,chair108
j2029,a13060,chair109
j2036,a53658,chair110
j14667,a46027,chair111
j4476,a86939,chair112
j343,a61031,chair113
j1916,a99885,chair114
j6016,a35666,chair115
j9826,a51695,chair116
j7763,a48357,chair117
j7424,a9176,chair118
j5213,a80065,chair119
j19916,a5284,chair120
j18485,a34610,chair121
j16474,a84338,chair122
j17514,a44976,chair123
j18300,a67470,chair124
j13375,a74336,chair125
j9755,a13232,chair126
j18787,a76574,chair127
j12453,a73499,chair128
j17640,a81033,chair129
j3833,a78300,chair130
j5953,a5633,chair131
j7970,a45767,chair132
j9726,a101737,chair133
j14276,a9899,chair134
j9262,a98697,chair135
j15783,a4978,chair136
j5743,a24745,chair137
j16667,a21822,chair138
j7639,a27548,chair139
j18500,a14977,chair140
j14459,a71905,chair141
j10755,a59127,chair142
j18726,a2784,chair143
j88,a72923,chair144
j3301,a87492,chair145
j16581,a93817,chair146
j19850,a90994,chair147
j3095,a39013,chair148
j11902,a85115,chair149
j10488,a8590,chair150
j9008,a12698,chair151
j12656,a9884,chair152
j18383,a85731,chair153
j19246,a61967,chair154
j18538,a37904,chair155
j1288,a40910,chair156
j15600,a40548,chair157
j10610,a651,chair158
j16845,a69553,chair159
j16622,a63730,chair160
j11946,a88585,chair161
j943,a60447,chair162
j14095,a90752,chair163
j5977,a51743,chair164
j16685,a19038,chair165
j19410,a72833,chair166
j14958,a42400,chair167
j10691,a75765,chair168
j14955,a38138,chair169
j811,a48809,chair170
j6981,a44816,chair171
j516,a68820,chair172
j13622,a24093,chair173
j8120,a2536,chair174
j9628,a28511,chair175
j5101,a89108,chair176
j7719,a18662,chair177
j14378,a7915,chair178
j10902,a93567,chair179
j9373,a8811,chair180
j1602,a40546,chair181
j14793,a85423,chair182
j8094,a55152,chair183
j3914,a76391,chair184
j14310,a23918,chair185
j18524,a69602,chair186
j10434,a80284,chair187
j1852,a12362,chair188
j14277,a27424,chair189
j2385,a9175,chair190
j18580,a86689,chair191
j4535,a92198,chair192
j8161,a91195,chair193
j9691,a33178,chair194
j8410,a45858,chair195
j1416,a64468,chair196
j5717,a19544,chair197
j17064,a64242,chair198
j16865,a53189,chair199
j16737,a98629,chair200
j3946,a49672,chair201
j12784,a10731,chair202
j4696,a13376,chair203
j201,a65829,chair204
j18733,a42605,chair205
j16101,a86209,chair206
j8682,a28674,chair207
j16125,a63560,chair208
j8543,a75240,chair209
j5369,a29224,chair210
j9270,a38996,chair211
j13848,a76791,chair212
j19290,a31994,chair213
j18863,a3480,chair214
j9645,a94272,chair215
j17560,a38515,chair216
j10179,a82204,chair217
j8735,a1197,chair218
j19536,a76749,chair219
j11056,a81201,chair220
j18089,a86453,chair221
j5902,a40995,chair222
j14166,a10438,chair223
j4806,a50915,chair224
j14946,a10212,chair225
j11652,a40391,chair226
j3136,a66915,chair227
j10349,a13276,chair228
j17358,a51047,chair229
j9355,a3965,chair230
j6055,a45864,chair231
j2802,a79287,chair232
j134,a30590,chair233
j10814,a72315,chair234
j11749,a906,chair235
j3267,a22794,chair236
j6632,a41991,chair237
j5296,a36018,chair238
j506,a20134,chair239
j3844,a76412,chair240
j12966,a74611,chair241
j14032,a75513,chair242
j837,a73181,chair243
j19249,a65153,chair244
j10069,a90055,chair245
j17350,a72674,chair246
j4380,a101253,chair247
j6538,a44442,chair248
j1390,a69087,chair249
j5425,a82389,chair250
j14478,a90070,chair251
j10090,a83325,chair252
j3561,a42455,chair253
j12941,a33719,chair254
j1270,a17036,chair255
j11523,a103630,chair256
j3294,a53422,chair257
j5421,a34702,chair258
j1360,a71788,chair259
j14960,a1866,chair260
j6654,a48731,chair261
j6754,a53082,chair262
j7535,a1724,chair263
j2544,a55903,chair264
j7353,a93230,chair265
j8849,a96298,chair266
j19223,a47136,chair267
j14299,a94484,chair268
j6707,a91566,chair269
j9336,a6325,chair270
j2061,a101040,chair271
j4451,a2902,chair272
j1070,a103189,chair273
j9960,a79998,chair274
j8136,a44800,chair275
j18832,a62677,chair276
j5197,a25564,chair277
j11352,a86853,chair278
j11033,a77009,chair279
j10051,a2138,chair280
j11793,a104766,chair281
j6190,a82391,chair282
j1295,a75530,chair283
j4839,a52958,chair284
j13828,a57047,chair285
j18796,a57035,chair286
j14128,a97067,chair287
j3810,a5001,chair288
j12660,a69879,chair289
j19014,a69992,chair290
j16223,a40654,chair291
j2834,a59917,chair292
j3128,a15434,chair293
j18144,a16188,chair294
j3158,a96798,chair295
j11153,a46146,chair296
j19827,a43118,chair297
j5114,a43890,chair298
j19671,a85791,chair299
j490,a61793,chair300
j2591,a105669,chair301
j387,a3724,chair302
j11471,a90121,chair303
j4838,a62875,chair304
j7268,a41740,chair305
j12529,a54300,chair306
j12124,a11268,chair307
j10829,a48022,chair308
j13423,a63366,chair309
j13355,a55574,chair310
j7935,a47652,chair311
j19776,a90150,chair312
j10888,a4365,chair313
j3308,a55343,chair314
j3057,a75544,chair315
j17060,a10527,chair316
j16175,a28069,chair317
j19793,a5429,chair318
j11846,a66834,chair319
j4316,a33792,chair320
j5529,a9771,chair321
j5398,a97890,chair322
j15664,a62633,chair323
j6882,a57960,chair324
j736,a10099,chair325
j16800,a57649,chair326
j332,a49314,chair327
j16242,a86670,chair328
j1539,a82736,chair329
j15144,a87384,chair330
j9428,a12405,chair331
j1901,a63537,chair332
j10032,a83938,chair333
j14859,a51179,chair334
j12626,a104779,chair335
j10308,a23610,chair336
j4286,a15845,chair337
j6187,a79497,chair338
j15546,a25519,chair339
j18801,a50215,chair340
j938,a93842,chair341
j4403,a25315,chair342
j5085,a98852,chair343
j19583,a70742,chair344
j1181,a58559,chair345
j5252,a79325,chair346
j6279,a69995,chair347
j2573,a8608,chair348
j2404,a45263,chair349
j6560,a67717,chair350
j10257,a73775,chair351
j9602,a12742,chair352
j11659,a101243,chair353
j625,a43511,chair354
j12024,a68331,chair355
j17295,a47047,chair356
j7290,a23146,chair357
j15483,a79561,chair358
j5988,a68351,chair359
j15079,a78484,chair360
j19881,a92195,chair361
j7622,a11002,chair362
j4235,a2400,chair363
j16262,a20911,chair364
j5853,a3951,chair365
j455,a96013,chair366
j5220,a18347,chair367
j1225,a43659,chair368
j14688,a82679,chair369
j17185,a66364,chair370
j4386,a45465,chair371
j4774,a49772,chair372
j10850,a10050,chair373
j7205,a94174,chair374
j370,a36732,chair375
j14455,a1241,chair376
j15457,a62742,chair377
j11930,a72085,chair378
j17562,a30680,chair379
j6332,a44646,chair380
j19036,a2040,chair381
j13225,a66202,chair382
j15919,a29128,chair383
j3994,a36054,chair384
j15298,a34476,chair385
j2164,a54568,chair386
j9506,a76104,chair387
j10574,a60710,chair388
j2590,a41678,chair389
j5360,a91575,chair390
j8767,a99137,chair391
j4674,a49556,chair392
j4473,a31152,chair393
j4640,a6908,chair394
j4885,a37684,chair395
j4281,a29429,chair396
j16531,a75061,chair397
j391,a90012,chair398
j1637,a15773,chair399
j9203,a25553,chair400
j14864,a102420,chair401
j7459,a71867,chair402
j859,a40625,chair403
j16656,a43391,chair404
j12396,a37340,chair405
j12155,a45568,chair406
j16003,a90174,chair407
j19937,a93239,chair408
j13405,a7299,chair409
j4530,a14645,chair410
j18173,a1547,chair411
j10922,a6508,chair412
j5056,a14514,chair413
j9174,a21452,chair414
j14460,a50032,chair415
j18128,a3510,chair416
j14449,a41954,chair417
j18548,a49815,chair418
j17807,a12297,chair419
j15754,a97114,chair420
j14533,a77566,chair421
j17159,a57212,chair422
j13872,a91776,chair423
j5373,a56489,chair424
j12963,a80103,chair425
j1691,a89892,chair426
j19752,a6898,chair427
j11404,a80991,chair428
j2552,a94354,chair429
j13465,a77177,chair430
j18544,a60776,chair431
j14226,a39603,chair432
j15566,a68075,chair433
j12535,a1217,chair434
j13190,a64552,chair435
j4445,a74880,chair436
j17342,a102536,chair437
j9617,a11329,chair438
j12542,a65109,chair439
j12926,a77302,chair440
j9089,a70361,chair441
j10592,a16719,chair442
j6394,a29501,chair443
j9014,a25046,chair444
j14492,a8710,chair445
j11875,a54023,chair446
j2836,a19251,chair447
j8488,a93538,chair448
j10778,a25160,chair449
j13129,a52138,chair450
j994,a94781,chair451
j11839,a16000,chair452
j9871,a41264,chair453
j11934,a9507,chair454
j3231,a69823,chair455
j11034,a20054,chair456
j11925,a15039,chair457
j7450,a103891,chair458
j4677,a100137,chair459
j1428,a94313,chair460
j18577,a103908,chair461
j19278,a58430,chair462
j6141,a96113,chair463
j14440,a97678,chair464
j6091,a98502,chair465
j15744,a64130,chair466
j7652,a50774,chair467
j3345,a5034,chair468
j13616,a63749,chair469
j813,a69590,chair470
j13978,a90065,chair471
j12447,a91105,chair472
j16476,a481,chair473
j3809,a69217,chair474
j3565,a7314,chair475
j19354,a21447,chair476
j12010,a63568,chair477
j18728,a67029,chair478
j2217,a95454,chair479
j18972,a65114,chair480
j4668,a196,chair481
j292,a103859,chair482
j13185,a30936,chair483
j14021,a9299,chair484
j14567,a94172,chair485
j7231,a2997,chair486
j4339,a71200,chair487
j16485,a95494,chair488
j8263,a21063,chair489
j15828,a83909,chair490
j5488,a89950,chair491
j9676,a35913,chair492
j19935,a78302,chair493
j11499,a83954,chair494
j5514,a102745,chair495
j14693,a91116,chair496
j8096,a62308,chair497
j15672,a62629,chair498
j10353,a90773,chair499
j17394,a77843,chair500
j4933,a46258,chair501
j4685,a22439,chair502
j18607,a79232,chair503
j7,a58595,chair504
j12344,a51961,chair505
j2893,a74898,chair506
j3899,a38406,chair507
j3543,a45134,chair508
j8363,a102335,chair509
j9710,a100258,chair510
j662,a82480,chair511
j13765,a34524,chair512
j5994,a92022,chair513
j6619,a29504,chair514
j17610,a28675,chair515
j10419,a28859,chair516
j8567,a50004,chair517
j1921,a39060,chair518
j9142,a17162,chair519
j16248,a91398,chair520
j16450,a43133,chair521
j7638,a90519,chair522
j16818,a91485,chair523
j8400,a50809,chair524
j19171,a32688,chair525
j8110,a90657,chair526
j18740,a59567,chair527
j11900,a20824,chair528
j19619,a42747,chair529
j5962,a53413,chair530
j19990,a101487,chair531
j1953,a19490,chair532
j19064,a11663,chair533
j6967,a5657,chair534
j11188,a98491,chair535
j6951,a90066,chair536
j8297,a81625,chair537
j4173,a3589,chair538
j16719,a73628,chair539
j17547,a32751,chair540
j18341,a86902,chair541
j15085,a1999,chair542
j17096,a24135,chair543
j9532,a14918,chair544
j2877,a12598,chair545
j2937,a89414,chair546
j8996,a11442,chair547
j8067,a103014,chair548
j8327,a92303,chair549
j18650,a59347,chair550
j11357,a42450,chair551
j14349,a75524,chair552
j5309,a69546,chair553
j10891,a59615,chair554
j1998,a186,chair555
j19836,a12561,chair556
j5752,a102879,chair557
j13183,a25672,chair558
j9860,a51105,chair559
j6154,a9023,chair560
j15601,a50866,chair561
j9546,a52522,chair562
j4904,a58243,chair563
j10555,a101713,chair564
j15038,a94494,chair565
j15257,a58772,chair566
j7124,a101023,chair567
j15336,a36574,chair568
j1891,a15164,chair569
j16653,a29253,chair570
j4755,a65856,chair571
j11193,a31664,chair572
j15021,a59234,chair573
j18460,a61179,chair574
j19839,a17468,chair575
j2575,a40983,chair576
j15839,a79519,chair577
j3737,a29098,chair578
j18721,a89419,chair579
j296,a105353,chair580
j9098,a24609,chair581
j18631,a101783,chair582
j10463,a72010,chair583
j1936,a77826,chair584
j11219,a23349,chair585
j11403,a34819,chair586
j10791,a4327,chair587
j5709,a82683,chair588
j2862,a87910,chair589
j2278,a100832,chair590
j9937,a25207,chair591
j9748,a96990,chair592
j5895,a63932,chair593
j2219,a96020,chair594
j19980,a60681,chair595
j7777,a77324,chair596
j18318,a54378,chair597
j866,a48711,chair598
j19400,a16020,chair599
j14680,a45020,chair600
j13803,a57478,chair601
j18588,a38269,chair602
j4688,a89614,chair603
j4778,a82836,chair604
j324,a50567,chair605
j5134,a93369,chair606
j5291,a41316,chair607
j2226,a63587,chair608
j4005,a56084,chair609
j3979,a67545,chair610
j16424,a75426,chair611
j10682,a38221,chair612
j5894,a49609,chair613
j741,a104108,chair614
j1242,a33188,chair615
j9305,a105425,chair616
j4383,a104594,chair617
j2232,a4612,chair618
j14490,a13941,chair619
j19193,a45631,chair620
j5385,a16941,chair621
j19513,a23559,chair622
j5542,a60604,chair623
j10326,a105828,chair624
j15822,a5906,chair625
j17867,a20779,chair626
j4330,a18321,chair627
j19126,a54834,chair628
j2047,a41682,chair629
j5931,a33869,chair630
j6505,a93397,chair631
j14755,a104300,chair632
j15293,a66657,chair633
j16771,a90376,chair634
j19376,a69202,chair635
j6458,a15443,chair636
j7252,a67843,chair637
j7863,a79971,chair638
j12296,a9549,chair639
j3780,a66887,chair640
j7487,a31160,chair641
j18798,a1463,chair642
j8564,a62993,chair643
j4088,a9756,chair644
j9615,a69483,chair645
j3783,a71732,chair646
j12831,a58085,chair647
j3842,a27027,chair648
j14151,a35363,chair649
j18893,a17801,chair650
j11211,a84541,chair651
j19558,a71288,chair652
j14395,a44243,chair653
j16968,a12940,chair654
j10780,a39483,chair655
j3315,a27942,chair656
j4575,a9556,chair657
j10697,a94768,chair658
j11395,a63881,chair659
j2752,a10588,chair660
j5190,a47665,chair661
j13908,a74479,chair662
j15808,a10767,chair663
j13259,a35685,chair664
j5238,a15601,chair665
j6104,a40762,chair666
j3603,a18482,chair667
j6369,a54637,chair668
j3427,a44525,chair669
j1520,a1519,chair670
j12140,a86309,chair671
j15367,a25218,chair672
j13995,a27331,chair673
j14380,a92654,chair674
j5063,a93807,chair675
j12336,a29590,chair676
j3435,a82074,chair677
j9914,a11596,chair678
j1251,a69423,chair679
j12609,a66658,chair680
j2843,a50401,chair681
j10853,a90143,chair682
j9404,a100987,chair683
j8672,a31775,chair684
j14888,a2954,chair685
j4222,a1061,chair686
j14090,a50881,chair687
j14031,a63507,chair688
j9554,a6207,chair689
j4801,a47913,chair690
j8434,a88760,chair691
j8602,a50126,chair692
j3284,a72145,chair693
j7600,a12452,chair694
j8032,a78451,chair695
j12284,a91897,chair696
j10421,a69861,chair697
j9815,a27418,chair698
j5701,a54456,chair699
j11018,a95902,chair700
j310,a11325,chair701
j4131,a61284,chair702
j11768,a70657,chair703
j6982,a51425,chair704
j559,a58643,chair705
j19630,a90270,chair706
j6660,a16508,chair707
j14176,a16447,chair708
j8420,a5577,chair709
j8516,a23976,chair710
j9489,a46430,chair711
j19026,a73101,chair712
j8657,a29072,chair713
j820,a27934,chair714
j11173,a8499,chair715
j832,a25408,chair716
j3484,a98575,chair717
j17977,a54746,chair718
j18684,a70286,chair719
j18435,a96680,chair720
j10103,a33139,chair721
j8987,a27120,chair722
j18311,a102917,chair723
j18678,a87808,chair724
j442,a28773,chair725
j11689,a30445,chair726
j2078,a102855,chair727
j13464,a16174,chair728
j1524,a88963,chair729
j1957,a49470,chair730
j12146,a47750,chair731
j12877,a97240,chair732
j17758,a22449,chair733
j11504,a71301,chair734
j5844,a84077,chair735
j2894,a32373,chair736
j3249,a19949,chair737
j19115,a44729,chair738
j7021,a13556,chair739
j15098,a81594,chair740
j2462,a42667,chair741
j16864,a59520,chair742
j7502,a96813,chair743
j8553,a26499,chair744
j16556,a92190,chair745
j14435,a40586,chair746
j427,a91579,chair747
j10841,a20097,chair748
j16157,a100499,chair749
j7025,a12574,chair750
j4722,a35872,chair751
j6158,a76592,chair752
j15339,a11619,chair753
j14848,a69701,chair754
j18512,a81297,chair755
j567,a46453,chair756
j12353,a64161,chair757
j10089,a34810,chair758
j10424,a76078,chair759
j18514,a103934,chair760
j8396,a8754,chair761
j9375,a63770,chair762
j17005,a5859,chair763
j17385,a70327,chair764
j8304,a93783,chair765
j2265,a39501,chair766
j3286,a55561,chair767
j12541,a774,chair768
j8877,a24500,chair769
j7377,a98193,chair770
j618,a67286,chair771
j7889,a73520,chair772
j12078,a22286,chair773
j19095,a6574,chair774
j12561,a16170,chair775
j9446,a91710,chair776
j14670,a73113,chair777
j2071,a78805,chair778
j13138,a31832,chair779
j13553,a77163,chair780
j10752,a103950,chair781
j19920,a88077,chair782
j10283,a95764,chair783
j6320,a19947,chair784
j4211,a101325,chair785
j15382,a4187,chair786
j12528,a22172,chair787
j19580,a57203,chair788
j17272,a52111,chair789
j16232,a7942,chair790
j9088,a36690,chair791
j5033,a101961,chair792
j12504,a79356,chair793
j9019,a2681,chair794
j16725,a104256,chair795
j18027,a29906,chair796
j8439,a20807,chair797
j14304,a19159,chair798
j7157,a104810,chair799
j6224,a73840,chair800
j18562,a94207,chair801
j11626,a45313,chair802
j4501,a68456,chair803
j3848,a101516,chair804
j6004,a17623,chair805
j16846,a89705,chair806
j18970,a60592,chair807
j10298,a105776,chair808
j17225,a14703,chair809
j5078,a85837,chair810
j8754,a89096,chair811
j17794,a88402,chair812
j19123,a103973,chair813
j15565,a87219,chair814
j10131,a26714,chair815
j5307,a6859,chair816
j13408,a35884,chair817
j13948,a101974,chair818
j19867,a74625,chair819
j554,a49867,chair820
j12370,a96554,chair821
j2908,a42831,chair822
j2675,a25997,chair823
j4835,a94712,chair824
j9405,a28691,chair825
j10145,a7241,chair826
j14624,a88364,chair827
j10227,a105629,chair828
j11711,a105561,chair829
j13347,a78074,chair830
j14462,a3394,chair831
j8495,a64801,chair832
j13479,a37561,chair833
j11230,a4151,chair834
j4829,a67315,chair835
j3337,a77925,chair836
j620,a83519,chair837
j4788,a15301,chair838
j12316,a43742,chair839
j2795,a85466,chair840
j19076,a2655,chair841
j5792,a59694,chair842
j15117,a78573,chair843
j5337,a76866,chair844
j13612,a7089,chair845
j2798,a5944,chair846
j8029,a81247,chair847
j1941,a24833,chair848
j13404,a18623,chair849
j17588,a41427,chair850
j10122,a76867,chair851
j14966,a8069,chair852
j2960,a100457,chair853
j16668,a15095,chair854
j12002,a97603,chair855
j3268,a4286,chair856
j4424,a22630,chair857
j10560,a45127,chair858
j10364,a58141,chair859
j3563,a57930,chair860
j17895,a97481,chair861
j4429,a74213,chair862
j19959,a52793,chair863
j13503,a59454,chair864
j6835,a17359,chair865
j14645,a102050,chair866
j8883,a40711,chair867
j2011,a37531,chair868
j5029,a87326,chair869
j12263,a312,chair870
j1827,a97063,chair871
j9219,a81780,chair872
j10150,a67120,chair873
j18519,a38021,chair874
j12666,a4567,chair875
j1141,a7275,chair876
j12274,a7128,chair877
j8693,a740,chair878
j19548,a83178,chair879
j18323,a69951,chair880
j6084,a51246,chair881
j12054,a91323,chair882
j10678,a41094,chair883
j6000,a16700,chair884
j7958,a55512,chair885
j10065,a104087,chair886
j16805,a49850,chair887
j11159,a97080,chair888
j19993,a20185,chair889
j10264,a100506,chair890
j11330,a91107,chair891
j16375,a73787,chair892
j10611,a68694,chair893
j8942,a27750,chair894
j1124,a100652,chair895
j3191,a34991,chair896
j11378,a86510,chair897
j15275,a88366,chair898
j7969,a50242,chair899
j6587,a26506,chair900
j18717,a4928,chair901
j5871,a28708,chair902
j4135,a52737,chair903
j12775,a21405,chair904
j13993,a65991,chair905
j17874,a40847,chair906
j2939,a63828,chair907
j9018,a58289,chair908
j5375,a9010,chair909
j17001,a40937,chair910
j14325,a65857,chair911
j942,a32981,chair912
j1481,a3675,chair913
j15241,a90265,chair914
j11539,a62154,chair915
j2320,a97616,chair916
j17326,a13895,chair917
j3983,a56192,chair918
j5569,a69045,chair919
j17613,a14263,chair920
j15478,a43690,chair921
j18649,a95202,chair922
j11317,a15622,chair923
j1831,a66394,chair924
j5061,a103121,chair925
j7364,a24384,chair926
j8493,a38141,chair927
j565,a26495,chair928
j3058,a57656,chair929
j16598,a84316,chair930
j15088,a94170,chair931
j11564,a74653,chair932
j7198,a97393,chair933
j10229,a87283,chair934
j8799,a93649,chair935
j11314,a66942,chair936
j18865,a75643,chair937
j14677,a25141,chair938
j13455,a59579,chair939
j1201,a92859,chair940
j8429,a10860,chair941
j6612,a94461,chair942
j706,a104089,chair943
j2073,a6606,chair944
j13937,a49807,chair945
j19504,a95299,chair946
j290,a19732,chair947
j15563,a71411,chair948
j106,a38243,chair949
j15949,a83803,chair950
j8606,a47901,chair951
j12586,a70624,chair952
j17729,a41197,chair953
j13234,a54085,chair954
j17964,a1937,chair955
j10616,a23773,chair956
j4971,a56719,chair957
j9828,a52301,chair958
j12083,a14742,chair959
j10994,a37415,chair960
j11129,a24507,chair961
j2109,a42990,chair962
j12201,a3169,chair963
j19113,a61409,chair964
j12516,a61584,chair965
j1638,a14415,chair966
j1148,a10664,chair967
j7435,a11953,chair968
j14238,a101618,chair969
j5040,a39754,chair970
j8725,a20090,chair971
j7251,a63810,chair972
j7293,a102507,chair973
j15284,a83944,chair974
j3283,a104200,chair975
j7690,a24071,chair976
j3664,a9380,chair977
j5282,a20164,chair978
j1530,a53570,chair979
j1621,a26375,chair980
j6821,a91137,chair981
j749,a57442,chair982
j11170,a60288,chair983
j7319,a21223,chair984
j14188,a43884,chair985
j4679,a29477,chair986
j8948,a48215,chair987
j2459,a19270,chair988
j16008,a73331,chair989
j9841,a103276,chair990
j7952,a53100,chair991
j8435,a86360,chair992
j1073,a82760,chair993
j15033,a19321,chair994
j1633,a23859,chair995
j3891,a93732,chair996
j8167,a86329,chair997
j35,a21986,chair998
j13698,a25627,chair999
j875,a79057,chair1000
j15403,a19217,chair1001
j1945,a29167,chair1002
j19462,a24303,chair1003
j6238,a12392,chair1004
j10520,a9981,chair1005
j9445,a66351,chair1006
j4110,a92426,chair1007
j2356,a75431,chair1008
j1747,a79107,chair1009
j11477,a72190,chair1010
j8536,a82872,chair1011
j4314,a80425,chair1012
j10274,a56042,chair1013
j9409,a4194,chair1014
j10175,a77304,chair1015
j2483,a73135,chair1016
j17682,a105800,chair1017
j14844,a30454,chair1018
j15912,a104335,chair1019
j12728,a99634,chair1020
j11680,a87314,chair1021
j19340,a28049,chair1022
j16106,a53039,chair1023
j6,a76354,chair1024
j18975,a20761,chair1025
j18701,a18503,chair1026
j19451,a61542,chair1027
j3586,a66109,chair1028
j5607,a92823,chair1029
j14861,a76449,chair1030
j6353,a37294,chair1031
j10790,a72702,chair1032
j12267,a82159,chair1033
j6440,a28173,chair1034
j15605,a3199,chair1035
j16244,a24735,chair1036
j15372,a33537,chair1037
j17393,a93679,chair1038
j17605,a30924,chair1039
j17386,a102814,chair1040
j15751,a3385,chair1041
j10068,a64250,chair1042
j9216,a78657,chair1043
j2512,a97387,chair1044
j18111,a27565,chair1045
j18166,a44701,chair1046
j5865,a9102,chair1047
j10826,a10475,chair1048
j17010,a96348,chair1049
j18848,a25649,chair1050
j9778,a80542,chair1051
j4518,a67466,chair1052
j12924,a80686,chair1053
j19575,a74679,chair1054
j10700,a12368,chair1055
j6530,a46031,chair1056
j10545,a93648,chair1057
j6554,a21595,chair1058
j13274,a59833,chair1059
j9825,a19673,chair1060
j19146,a70097,chair1061
j2563,a37386,chair1062
j3289,a105829,chair1063
j18114,a33305,chair1064
j6370,a38399,chair1065
j19057,a21083,chair1066
j18296,a17228,chair1067
j4368,a33240,chair1068
j12700,a50255,chair1069
j5260,a47239,chair1070
j16213,a82036,chair1071
j9700,a41539,chair1072
j227,a104734,chair1073
j8175,a85490,chair1074
j9124,a44346,chair1075
j11708,a24701,chair1076
j16455,a51005,chair1077
j7100,a69463,chair1078
j17563,a54140,chair1079
j6790,a39543,chair1080
j6356,a392,chair1081
j2976,a19327,chair1082
j2372,a24049,chair1083
j7361,a18147,chair1084
j7504,a19849,chair1085
j15768,a58164,chair1086
j11684,a22865,chair1087
j10429,a55928,chair1088
j10477,a90419,chair1089
j14902,a4489,chair1090
j2088,a2771,chair1091
j15649,a18896,chair1092
j2332,a31150,chair1093
j3394,a73338,chair1094
j3557,a13929,chair1095
j14735,a37755,chair1096
j8035,a27399,chair1097
j1092,a18867,chair1098
j2124,a41739,chair1099
j13862,a41370,chair1100
j8339,a93442,chair1101
j9372,a16113,chair1102
j12878,a53196,chair1103
j10307,a67502,chair1104
j16923,a43550,chair1105
j8220,a101318,chair1106
j8521,a59885,chair1107
j12935,a12431,chair1108
j11579,a91604,chair1109
j255,a68451,chair1110
j1967,a79876,chair1111
j13244,a44982,chair1112
j5506,a95662,chair1113
j6828,a29056,chair1114
j8210,a81038,chair1115
j16815,a385,chair1116
j12138,a101910,chair1117
j3501,a49321,chair1118
j8287,a39978,chair1119
j3049,a54708,chair1120
j14019,a78715,chair1121
j9424,a27681,chair1122
j12832,a70419,chair1123
j7366,a6839,chair1124
j17882,a79099,chair1125
j4122,a97700,chair1126
j10526,a43402,chair1127
j17303,a75796,chair1128
j3278,a74214,chair1129
j2617,a69384,chair1130
j12886,a53912,chair1131
j3648,a89565,chair1132
j17214,a89328,chair1133
j7218,a73547,chair1134
j19260,a55426,chair1135
j18308,a35797,chair1136
j2285,a6660,chair1137
j5499,a96478,chair1138
j6349,a46724,chair1139
j3920,a97192,chair1140
j867,a79241,chair1141
j8692,a85658,chair1142
j8144,a50580,chair1143
j3991,a14638,chair1144
j13790,a99299,chair1145
j12499,a41583,chair1146
j10909,a98492,chair1147
j6510,a14764,chair1148
j16932,a73085,chair1149
j18990,a70020,chair1150
j8552,a75410,chair1151
j19323,a30757,chair1152
j19594,a101695,chair1153
j9359,a104637,chair1154
j287,a24157,chair1155
j5338,a15476,chair1156
