authorID,supervisorID,confjorID,supervisorsIDs
a100982,s100982,j19131,editor160
a104815,s104815,j555,editor161
a66088,s66088,j11155,editor162
a64128,s64128,j9133,editor163
a74110,s74110,j10305,editor164
a11554,s11554,j16243,editor165
a28856,s28856,j468,editor166
a68716,s68716,j5263,editor167
a46860,s46860,j11750,editor168
a14664,s14664,j17821,editor169
a95962,s95962,j6610,editor170
a63850,s63850,j5390,editor171
a39540,s39540,j771,editor172
a58578,s58578,j6420,editor173
a94578,s94578,j1595,editor174
a69189,s69189,j16888,editor175
a55680,s55680,j6005,editor176
a5743,s5743,j13014,editor177
a104278,s104278,j19643,editor178
a26280,s26280,j8890,editor179
a105433,s105433,j15951,editor180
a102728,s102728,j15480,editor181
a19221,s19221,j19977,editor182
a52731,s52731,j4560,editor183
a48705,s48705,j18732,editor184
a16842,s16842,j19657,editor185
a100038,s100038,j1202,editor186
a12000,s12000,j9856,editor187
a85960,s85960,j4323,editor188
a6138,s6138,j16984,editor189
a32385,s32385,j7252,editor190
a69378,s69378,j6899,editor191
a51804,s51804,c204,chair4
a54793,s54793,j1366,editor192
a61912,s61912,j7270,editor193
a103594,s103594,j5898,editor194
a35908,s35908,j15988,editor195
a82616,s82616,j3183,editor196
a93866,s93866,j12768,editor197
a13741,s13741,j4287,editor198
a12153,s12153,j16281,editor199
a36435,s36435,j13154,editor200
a62385,s62385,j17216,editor201
a44375,s44375,j6404,editor202
a60871,s60871,j16371,editor203
a42015,s42015,j14666,editor204
a79492,s79492,j868,editor205
a29435,s29435,j4572,editor206
a86227,s86227,j13805,editor207
a76878,s76878,j8946,editor208
a61151,s61151,j13107,editor209
a44290,s44290,j3026,editor210
a37141,s37141,j14115,editor211
a1860,s1860,j9416,editor212
a95462,s95462,j17102,editor213
a74605,s74605,j16062,editor214
a94402,s94402,j12096,editor215
a10630,s10630,j4331,editor216
a102104,s102104,c187,chair5
a91958,s91958,j17761,editor217
a13506,s13506,j8808,editor218
a23708,s23708,j3043,editor219
a48027,s48027,j3049,editor220
a59775,s59775,j4875,editor221
a49682,s49682,j2827,editor222
a30181,s30181,j18413,editor223
a28717,s28717,j931,editor224
a97761,s97761,j19019,editor225
a7095,s7095,j11731,editor226
a102614,s102614,j265,editor227
a5619,s5619,j17907,editor228
a102836,s102836,j9989,editor229
a61034,s61034,j14176,editor230
a80745,s80745,j14713,editor231
a13946,s13946,j4238,editor232
a19934,s19934,j10752,editor233
a87230,s87230,j16850,editor234
a5104,s5104,j13494,editor235
a77250,s77250,j13531,editor236
a51778,s51778,j15274,editor237
a79752,s79752,j1983,editor238
a5146,s5146,j18875,editor239
a59816,s59816,j12654,editor240
a33495,s33495,j14784,editor241
a19690,s19690,j11483,editor242
a103092,s103092,j18874,editor243
a71389,s71389,j14689,editor244
a10299,s10299,j5754,editor245
a37164,s37164,j7312,editor246
a67835,s67835,j849,editor247
a93159,s93159,j9197,editor248
a98416,s98416,j362,editor249
a22125,s22125,j11414,editor250
a36058,s36058,j11734,editor251
a29413,s29413,j4340,editor252
a17502,s17502,j1061,editor253
a93356,s93356,j14671,editor254
a18275,s18275,j17399,editor255
a46160,s46160,j9325,editor256
a102698,s102698,j17557,editor257
a2436,s2436,j7700,editor258
a75957,s75957,j245,editor259
a9573,s9573,j3958,editor260
a103855,s103855,j19949,editor261
a19022,s19022,j10773,editor262
a71593,s71593,j14760,editor263
a29699,s29699,j10635,editor264
a71430,s71430,j3453,editor265
a64483,s64483,j16948,editor266
a104862,s104862,j14292,editor267
a49125,s49125,j6375,editor268
a74819,s74819,j11381,editor269
a48254,s48254,j13951,editor270
a88248,s88248,j15915,editor271
a89577,s89577,j1941,editor272
a35904,s35904,j990,editor273
a22116,s22116,j9047,editor274
a57967,s57967,j14844,editor275
a96562,s96562,j899,editor276
a63448,s63448,j5191,editor277
a5178,s5178,j10364,editor278
a85204,s85204,j6363,editor279
a33656,s33656,j5096,editor280
a1938,s1938,j12809,editor281
a94708,s94708,j2954,editor282
a55203,s55203,j10693,editor283
a91323,s91323,j19769,editor284
a81809,s81809,j9708,editor285
a49951,s49951,j15262,editor286
a88238,s88238,j10228,editor287
a17037,s17037,j2298,editor288
a56582,s56582,j18818,editor289
a48618,s48618,j13230,editor290
a93961,s93961,j19020,editor291
a71935,s71935,j14882,editor292
a47651,s47651,j2721,editor293
a35130,s35130,j14123,editor294
a71285,s71285,j10620,editor295
a87529,s87529,j12182,editor296
a16879,s16879,j152,editor297
a105632,s105632,j7265,editor298
a12548,s12548,j4496,editor299
a15937,s15937,j3641,editor300
a77684,s77684,j13790,editor301
a50731,s50731,j8779,editor302
a71268,s71268,j12618,editor303
a23591,s23591,j14883,editor304
a41550,s41550,j14385,editor305
a27876,s27876,j5562,editor306
a63978,s63978,j9082,editor307
a28175,s28175,j3156,editor308
a78792,s78792,j17560,editor309
a84065,s84065,j1866,editor310
a45042,s45042,j1412,editor311
a98285,s98285,j2316,editor312
a28291,s28291,j2551,editor313
a51373,s51373,j14544,editor314
a93113,s93113,j11658,editor315
a62828,s62828,j15993,editor316
a99859,s99859,j15202,editor317
a40261,s40261,j2092,editor318
a84405,s84405,j12434,editor319
a35267,s35267,j5728,editor320
a53217,s53217,j1007,editor321
a34724,s34724,j12967,editor322
a67654,s67654,j2908,editor323
a53268,s53268,j6987,editor324
a29588,s29588,j17334,editor325
a48236,s48236,j10510,editor326
a83562,s83562,j3101,editor327
a33017,s33017,j6268,editor328
a99127,s99127,j2785,editor329
a85248,s85248,j11376,editor330
a47799,s47799,j13866,editor331
a28533,s28533,j8713,editor332
a29133,s29133,j18273,editor333
a100222,s100222,j11583,editor334
a105228,s105228,j6466,editor335
a58776,s58776,j18314,editor336
a80719,s80719,j8801,editor337
a38713,s38713,j3134,editor338
a75238,s75238,j4437,editor339
a63407,s63407,j13728,editor340
a18352,s18352,j9962,editor341
a16540,s16540,j4748,editor342
a29835,s29835,j13074,editor343
a82462,s82462,j3967,editor344
a61180,s61180,j14328,editor345
a87998,s87998,j19257,editor346
a38845,s38845,j15769,editor347
a76085,s76085,j2198,editor348
a77489,s77489,j8046,editor349
a35,s35,j5531,editor350
a75178,s75178,j882,editor351
a33255,s33255,j1181,editor352
a32582,s32582,j3760,editor353
a78979,s78979,j13307,editor354
a76410,s76410,j2022,editor355
a7950,s7950,j16017,editor356
a96650,s96650,j6237,editor357
a30167,s30167,j10378,editor358
a7423,s7423,j12003,editor359
a56394,s56394,j15465,editor360
a42324,s42324,j12077,editor361
a62192,s62192,j10063,editor362
a88375,s88375,c183,chair6
a41886,s41886,j19136,editor363
a90550,s90550,j18530,editor364
a2339,s2339,j5542,editor365
a20492,s20492,j17372,editor366
a58934,s58934,j17972,editor367
a30463,s30463,j17978,editor368
a66338,s66338,j17640,editor369
a36546,s36546,j13978,editor370
a76624,s76624,j16042,editor371
a33283,s33283,j16309,editor372
a11407,s11407,j14990,editor373
a61999,s61999,j13495,editor374
a93213,s93213,j15402,editor375
a30612,s30612,j13000,editor376
a2447,s2447,j6101,editor377
a78196,s78196,j3715,editor378
a15194,s15194,j17179,editor379
a38974,s38974,j10599,editor380
a51600,s51600,j2555,editor381
a59809,s59809,j15199,editor382
a61218,s61218,j19853,editor383
a12077,s12077,j1702,editor384
a82375,s82375,j424,editor385
a103004,s103004,j5548,editor386
a104401,s104401,c90,chair7
a51135,s51135,j11025,editor387
a33019,s33019,j6972,editor388
a46532,s46532,j19354,editor389
a7215,s7215,j14236,editor390
a35222,s35222,j2965,editor391
a4911,s4911,j1507,editor392
a27466,s27466,j19793,editor393
a42535,s42535,j15617,editor394
a50718,s50718,j16102,editor395
a7646,s7646,j13352,editor396
a42885,s42885,j13991,editor397
a56403,s56403,j7575,editor398
a94464,s94464,j9326,editor399
a87787,s87787,j11683,editor400
a66672,s66672,j7552,editor401
a37233,s37233,j16919,editor402
a74817,s74817,j16343,editor403
a99029,s99029,j5559,editor404
a41674,s41674,j2924,editor405
a24008,s24008,j3243,editor406
a54627,s54627,j9054,editor407
a53903,s53903,j10086,editor408
a51387,s51387,j14468,editor409
a33356,s33356,j1757,editor410
a17092,s17092,j12660,editor411
a32878,s32878,j10441,editor412
a51463,s51463,j9405,editor413
a90470,s90470,j652,editor414
a72070,s72070,j12067,editor415
a94118,s94118,j14655,editor416
a1318,s1318,j2791,editor417
a104270,s104270,j13949,editor418
a20255,s20255,j18325,editor419
a2888,s2888,j12957,editor420
a10240,s10240,j3886,editor421
a33861,s33861,j5784,editor422
a97159,s97159,j7755,editor423
a49840,s49840,j16074,editor424
a38717,s38717,j15905,editor425
a35635,s35635,j14022,editor426
a49519,s49519,j12581,editor427
a8633,s8633,j19341,editor428
a60243,s60243,j10060,editor429
a33471,s33471,j19032,editor430
a55493,s55493,j7799,editor431
a54976,s54976,j544,editor432
a29503,s29503,j11751,editor433
a85708,s85708,j7911,editor434
a25783,s25783,j2339,editor435
a31880,s31880,j1806,editor436
a47100,s47100,j12537,editor437
a11177,s11177,j9641,editor438
a42638,s42638,j4137,editor439
a38109,s38109,j2438,editor440
a47436,s47436,j12406,editor441
a62762,s62762,j10107,editor442
a6091,s6091,j14119,editor443
a50746,s50746,j14507,editor444
a41995,s41995,j18468,editor445
a94879,s94879,j14558,editor446
a22276,s22276,j2685,editor447
a28809,s28809,j11353,editor448
a51620,s51620,j9790,editor449
a97855,s97855,j13795,editor450
a22048,s22048,j3939,editor451
a31067,s31067,j3755,editor452
a49538,s49538,j11851,editor453
a65255,s65255,j19052,editor454
a41412,s41412,j4025,editor455
a38726,s38726,j10649,editor456
a82452,s82452,c212,chair8
a83675,s83675,j7747,editor457
a77958,s77958,j5256,editor458
a42826,s42826,j16575,editor459
a88102,s88102,j7324,editor460
a80563,s80563,j4689,editor461
a59774,s59774,j10497,editor462
a20944,s20944,j474,editor463
a52539,s52539,j18910,editor464
a26438,s26438,j7255,editor465
a94941,s94941,j14054,editor466
a36096,s36096,j16450,editor467
a2662,s2662,j10400,editor468
a103203,s103203,j5753,editor469
a51183,s51183,j2306,editor470
a21231,s21231,j16781,editor471
a14736,s14736,j8926,editor472
a99912,s99912,j591,editor473
a25859,s25859,j11308,editor474
a8277,s8277,j836,editor475
a39762,s39762,j11976,editor476
a37149,s37149,j2117,editor477
a86118,s86118,j3847,editor478
a4684,s4684,j3507,editor479
a84825,s84825,j4299,editor480
a7757,s7757,j12435,editor481
a44817,s44817,j12684,editor482
a18078,s18078,j4944,editor483
a101959,s101959,j16585,editor484
a87927,s87927,j6212,editor485
a95603,s95603,j6522,editor486
a86975,s86975,j1381,editor487
a60163,s60163,j11328,editor488
a59029,s59029,j12847,editor489
a59226,s59226,j367,editor490
a61660,s61660,j6283,editor491
a20847,s20847,j15687,editor492
a52617,s52617,j6448,editor493
a83042,s83042,c219,chair9
a60063,s60063,j8844,editor494
a65366,s65366,j19875,editor495
a39480,s39480,c72,chair10
a92392,s92392,j11712,editor496
a7301,s7301,j2532,editor497
a96593,s96593,j19658,editor498
a33454,s33454,j10455,editor499
a39144,s39144,j15290,editor500
a9268,s9268,j17252,editor501
a278,s278,j3176,editor502
a30123,s30123,j14376,editor503
a60023,s60023,j6416,editor504
a65361,s65361,j5585,editor505
a103867,s103867,j4802,editor506
a62079,s62079,j14995,editor507
a55263,s55263,j14222,editor508
a33395,s33395,j4737,editor509
a72846,s72846,j9767,editor510
a14476,s14476,j12269,editor511
a17765,s17765,j597,editor512
a79289,s79289,j732,editor513
a78825,s78825,j10333,editor514
a1002,s1002,j17402,editor515
a36520,s36520,j12389,editor516
a92523,s92523,j11610,editor517
a89543,s89543,j3135,editor518
a46256,s46256,j1799,editor519
a28045,s28045,j3208,editor520
a77427,s77427,j17639,editor521
a73874,s73874,j16266,editor522
a12162,s12162,j11026,editor523
a99486,s99486,j10983,editor524
a39578,s39578,j12416,editor525
a12599,s12599,j10710,editor526
a68952,s68952,j16259,editor527
a11906,s11906,j2846,editor528
a102613,s102613,j10076,editor529
a11402,s11402,j160,editor530
a3182,s3182,j12861,editor531
a41222,s41222,j5298,editor532
a27291,s27291,j15806,editor533
a37799,s37799,j7523,editor534
a40111,s40111,j9490,editor535
a34177,s34177,j7221,editor536
a85995,s85995,j3460,editor537
a60395,s60395,j6314,editor538
a80466,s80466,j6299,editor539
a44966,s44966,j14401,editor540
a62822,s62822,j5618,editor541
a47144,s47144,j12681,editor542
a58800,s58800,j11271,editor543
a56596,s56596,j18001,editor544
a48594,s48594,j7579,editor545
a82658,s82658,j6690,editor546
a71764,s71764,j8795,editor547
a77204,s77204,j3570,editor548
a58625,s58625,j16535,editor549
a95151,s95151,j1467,editor550
a26031,s26031,j627,editor551
a96719,s96719,j4078,editor552
a12847,s12847,j14093,editor553
a52411,s52411,j18087,editor554
a99302,s99302,j6092,editor555
a14149,s14149,j5050,editor556
a66357,s66357,j10777,editor557
a18116,s18116,j6254,editor558
a13190,s13190,j8985,editor559
a60577,s60577,j12097,editor560
a1116,s1116,j13367,editor561
a54662,s54662,j11906,editor562
a16349,s16349,j13675,editor563
a94649,s94649,j6319,editor564
a46286,s46286,j19238,editor565
a3337,s3337,j6344,editor566
a76678,s76678,j5234,editor567
a74643,s74643,j1066,editor568
a104132,s104132,j4747,editor569
a43191,s43191,c140,chair11
a25964,s25964,j9470,editor570
a86637,s86637,j9903,editor571
a25197,s25197,j1108,editor572
a29275,s29275,j11254,editor573
a57445,s57445,j13523,editor574
a85763,s85763,j19874,editor575
a99238,s99238,j12540,editor576
a54972,s54972,j7844,editor577
a21907,s21907,j19911,editor578
a103778,s103778,j3484,editor579
a77598,s77598,j13076,editor580
a84096,s84096,j7594,editor581
a94816,s94816,j13510,editor582
a81624,s81624,j1562,editor583
a23776,s23776,j9288,editor584
a89176,s89176,j13300,editor585
a23367,s23367,j19721,editor586
a75887,s75887,j8681,editor587
a70860,s70860,j16337,editor588
a100291,s100291,j4589,editor589
a466,s466,j11757,editor590
a85278,s85278,j714,editor591
a15902,s15902,j17668,editor592
a34445,s34445,j19710,editor593
a28815,s28815,j18625,editor594
a24896,s24896,j1658,editor595
a29137,s29137,j19638,editor596
a80456,s80456,j19886,editor597
a100204,s100204,j5855,editor598
a44203,s44203,j18188,editor599
a19926,s19926,j2542,editor600
a15321,s15321,j10539,editor601
a16563,s16563,j8775,editor602
a42421,s42421,j16854,editor603
a6367,s6367,j10654,editor604
a27283,s27283,j18546,editor605
a86726,s86726,j1033,editor606
a20928,s20928,j19200,editor607
a88418,s88418,j12628,editor608
a21884,s21884,j14813,editor609
a12962,s12962,j14582,editor610
a71858,s71858,j15787,editor611
a30969,s30969,j12531,editor612
a72047,s72047,j15795,editor613
a85533,s85533,j19771,editor614
a44136,s44136,j14695,editor615
a89967,s89967,j1341,editor616
a67251,s67251,j8862,editor617
a48641,s48641,j12396,editor618
a96699,s96699,j10896,editor619
a67152,s67152,j6312,editor620
a76331,s76331,j11371,editor621
a23468,s23468,j2005,editor622
a1599,s1599,j17915,editor623
a23186,s23186,j3418,editor624
a8518,s8518,j12107,editor625
a6071,s6071,j3116,editor626
a90687,s90687,j2241,editor627
a74340,s74340,j18555,editor628
a18771,s18771,j18454,editor629
a33685,s33685,j2742,editor630
a65528,s65528,c44,chair12
a43632,s43632,j5683,editor631
a15766,s15766,j3115,editor632
a82591,s82591,j15183,editor633
a26337,s26337,j11028,editor634
a53584,s53584,j15656,editor635
a41496,s41496,j136,editor636
a102960,s102960,j548,editor637
a10849,s10849,j15767,editor638
a67206,s67206,j16405,editor639
a6728,s6728,j216,editor640
a52246,s52246,j16052,editor641
a33591,s33591,j15823,editor642
a4475,s4475,j9168,editor643
a89128,s89128,j8759,editor644
a68701,s68701,j11661,editor645
a70861,s70861,j2761,editor646
a79842,s79842,j2112,editor647
a94608,s94608,j14405,editor648
a49499,s49499,j16747,editor649
a102028,s102028,j5849,editor650
a34316,s34316,j19131,editor651
a86731,s86731,j555,editor652
a23469,s23469,j11155,editor653
a95722,s95722,j9133,editor654
a21439,s21439,j10305,editor655
a5276,s5276,j16243,editor656
a63940,s63940,j468,editor657
a65767,s65767,j5263,editor658
a76447,s76447,j11750,editor659
a26780,s26780,j17821,editor660
a60756,s60756,j6610,editor661
a45353,s45353,j5390,editor662
a22711,s22711,j771,editor663
a75693,s75693,j6420,editor664
a89646,s89646,j1595,editor665
a36832,s36832,j16888,editor666
a1862,s1862,j6005,editor667
a52309,s52309,j13014,editor668
a88333,s88333,j19643,editor669
a85833,s85833,j8890,editor670
a4900,s4900,j15951,editor671
a105549,s105549,j15480,editor672
a48480,s48480,j19977,editor673
a92632,s92632,j4560,editor674
a13995,s13995,j18732,editor675
a40174,s40174,j19657,editor676
a74936,s74936,j1202,editor677
a78667,s78667,j9856,editor678
a10403,s10403,j4323,editor679
a2029,s2029,j16984,editor680
a22853,s22853,j7252,editor681
a86466,s86466,j6899,editor682
a76648,s76648,c204,chair13
a4656,s4656,j1366,editor683
a103865,s103865,j7270,editor684
a43802,s43802,j5898,editor685
a62942,s62942,j15988,editor686
a13198,s13198,j3183,editor687
a94675,s94675,j12768,editor688
a63836,s63836,j4287,editor689
a89125,s89125,j16281,editor690
a52242,s52242,j13154,editor691
a36493,s36493,j17216,editor692
a92806,s92806,j6404,editor693
a60437,s60437,j16371,editor694
a87377,s87377,j14666,editor695
a24196,s24196,j868,editor696
a73456,s73456,j4572,editor697
a78024,s78024,j13805,editor698
a50146,s50146,j8946,editor699
a66440,s66440,j13107,editor700
a17368,s17368,j3026,editor701
a11014,s11014,j14115,editor702
a32444,s32444,j9416,editor703
a66559,s66559,j17102,editor704
a75798,s75798,j16062,editor705
a52857,s52857,j12096,editor706
a75736,s75736,j4331,editor707
a56223,s56223,c187,chair14
a49718,s49718,j17761,editor708
a104387,s104387,j8808,editor709
a80936,s80936,j3043,editor710
a14317,s14317,j3049,editor711
a93732,s93732,j4875,editor712
a70398,s70398,j2827,editor713
a3915,s3915,j18413,editor714
a55538,s55538,j931,editor715
a55281,s55281,j19019,editor716
a17965,s17965,j11731,editor717
a52004,s52004,j265,editor718
a83889,s83889,j17907,editor719
a43221,s43221,j9989,editor720
a16866,s16866,j14176,editor721
a16604,s16604,j14713,editor722
a33684,s33684,j4238,editor723
a1635,s1635,j10752,editor724
a94395,s94395,j16850,editor725
a65953,s65953,j13494,editor726
a77526,s77526,j13531,editor727
a11922,s11922,j15274,editor728
a16845,s16845,j1983,editor729
a83613,s83613,j18875,editor730
a49637,s49637,j12654,editor731
a78374,s78374,j14784,editor732
a49814,s49814,j11483,editor733
a37130,s37130,j18874,editor734
a17163,s17163,j14689,editor735
a20921,s20921,j5754,editor736
a100365,s100365,j7312,editor737
a42953,s42953,j849,editor738
a27496,s27496,j9197,editor739
a76775,s76775,j362,editor740
a44986,s44986,j11414,editor741
a23628,s23628,j11734,editor742
a90189,s90189,j4340,editor743
a35052,s35052,j1061,editor744
a90248,s90248,j14671,editor745
a84104,s84104,j17399,editor746
a68327,s68327,j9325,editor747
a50928,s50928,j17557,editor748
a73560,s73560,j7700,editor749
a32342,s32342,j245,editor750
a33271,s33271,j3958,editor751
a14667,s14667,j19949,editor752
a15252,s15252,j10773,editor753
a22739,s22739,j14760,editor754
a20174,s20174,j10635,editor755
a10399,s10399,j3453,editor756
a57011,s57011,j16948,editor757
a50976,s50976,j14292,editor758
a76568,s76568,j6375,editor759
a20799,s20799,j11381,editor760
a39370,s39370,j13951,editor761
a83144,s83144,j15915,editor762
a95642,s95642,j1941,editor763
a70989,s70989,j990,editor764
a7149,s7149,j9047,editor765
a37641,s37641,j14844,editor766
a22767,s22767,j899,editor767
a55108,s55108,j5191,editor768
a19161,s19161,j10364,editor769
a79325,s79325,j6363,editor770
a82387,s82387,j5096,editor771
a104108,s104108,j12809,editor772
a53773,s53773,j2954,editor773
a95596,s95596,j10693,editor774
a72786,s72786,j19769,editor775
a1387,s1387,j9708,editor776
a10835,s10835,j15262,editor777
a78366,s78366,j10228,editor778
a105038,s105038,j2298,editor779
a29855,s29855,j18818,editor780
a87981,s87981,j13230,editor781
a876,s876,j19020,editor782
a74889,s74889,j14882,editor783
a73122,s73122,j2721,editor784
a67362,s67362,j14123,editor785
a100554,s100554,j10620,editor786
a103590,s103590,j12182,editor787
a52109,s52109,j152,editor788
a9845,s9845,j7265,editor789
a103080,s103080,j4496,editor790
a87450,s87450,j3641,editor791
a29521,s29521,j13790,editor792
a66147,s66147,j8779,editor793
a4337,s4337,j12618,editor794
a57741,s57741,j14883,editor795
a105068,s105068,j14385,editor796
a99953,s99953,j5562,editor797
a90689,s90689,j9082,editor798
a80790,s80790,j3156,editor799
a50207,s50207,j17560,editor800
a69111,s69111,j1866,editor801
a66127,s66127,j1412,editor802
a32462,s32462,j2316,editor803
a101532,s101532,j2551,editor804
a48489,s48489,j14544,editor805
a42887,s42887,j11658,editor806
a100677,s100677,j15993,editor807
a19443,s19443,j15202,editor808
a7363,s7363,j2092,editor809
a79501,s79501,j12434,editor810
a75608,s75608,j5728,editor811
a54358,s54358,j1007,editor812
a76640,s76640,j12967,editor813
a12401,s12401,j2908,editor814
a70368,s70368,j6987,editor815
a21176,s21176,j17334,editor816
a87682,s87682,j10510,editor817
a14107,s14107,j3101,editor818
a76442,s76442,j6268,editor819
a73444,s73444,j2785,editor820
a37751,s37751,j11376,editor821
a63036,s63036,j13866,editor822
a9889,s9889,j8713,editor823
a47608,s47608,j18273,editor824
a69365,s69365,j11583,editor825
a80956,s80956,j6466,editor826
a70813,s70813,j18314,editor827
a92433,s92433,j8801,editor828
a28624,s28624,j3134,editor829
a73498,s73498,j4437,editor830
a63636,s63636,j13728,editor831
a17694,s17694,j9962,editor832
a83864,s83864,j4748,editor833
a5438,s5438,j13074,editor834
a57729,s57729,j3967,editor835
a87465,s87465,j14328,editor836
a82057,s82057,j19257,editor837
a44979,s44979,j15769,editor838
a20061,s20061,j2198,editor839
a31631,s31631,j8046,editor840
a72355,s72355,j5531,editor841
a55088,s55088,j882,editor842
a16305,s16305,j1181,editor843
a58341,s58341,j3760,editor844
a26168,s26168,j13307,editor845
a41825,s41825,j2022,editor846
a100267,s100267,j16017,editor847
a505,s505,j6237,editor848
a39439,s39439,j10378,editor849
a22271,s22271,j12003,editor850
a28319,s28319,j15465,editor851
a77715,s77715,j12077,editor852
a85129,s85129,j10063,editor853
a69554,s69554,c183,chair15
a69342,s69342,j19136,editor854
a47885,s47885,j18530,editor855
a73054,s73054,j5542,editor856
a71209,s71209,j17372,editor857
a33765,s33765,j17972,editor858
a60476,s60476,j17978,editor859
