journalID,journalRef,journal,year,volumeName,journalVID
j55,2-s2.0-85184122079,Genome Biology,2024,journal55,jv55
j56,2-s2.0-85185206767,Scientific Data,2024,journal56,jv56
j57,2-s2.0-85183388175,BMC Genomics,2024,journal57,jv57
j58,2-s2.0-85183021686,Nature Communications,2024,journal58,jv58
j59,2-s2.0-85184674680,Clinical and Experimental Medicine,2024,journal59,jv59
j60,2-s2.0-85183032071,Scientific Reports,2024,journal60,jv60
j61,2-s2.0-85183057099,Nature Communications,2024,journal61,jv61
j62,2-s2.0-85184270676,BMC Medicine,2024,journal62,jv62
j63,2-s2.0-85185455424,Nature Communications,2024,journal63,jv63
j64,2-s2.0-85183434269,Humanities and Social Sciences Communications,2024,journal64,jv64
j65,2-s2.0-85185979605,Nature Communications,2024,journal65,jv65
j66,2-s2.0-85185915447,Nano Convergence,2024,journal66,jv66
j67,2-s2.0-85183020493,European Radiology Experimental,2024,journal67,jv67
j68,2-s2.0-85184219087,EJNMMI Research,2024,journal68,jv68
j69,2-s2.0-85185522197,Nature Communications,2024,journal69,jv69
j70,2-s2.0-85183387773,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2024,journal70,jv70
j71,2-s2.0-85185135484,Clinical and Experimental Medicine,2024,journal71,jv71
j72,2-s2.0-85183631176,Nature Communications,2024,journal72,jv72
j73,2-s2.0-85183655005,Nature Communications,2024,journal73,jv73
j74,2-s2.0-85184110555,Nature Communications,2024,journal74,jv74
j75,2-s2.0-85185131100,Nature Communications,2024,journal75,jv75
j76,2-s2.0-85183786792,Nature Communications,2024,journal76,jv76
j77,2-s2.0-85182840590,Nature Communications,2024,journal77,jv77
j78,2-s2.0-85184105521,Nature Communications,2024,journal78,jv78
j79,2-s2.0-85183792036,Scientific Reports,2024,journal79,jv79
j80,2-s2.0-85182499878,Genome Biology,2024,journal80,jv80
j81,2-s2.0-85182698964,Communications in Transportation Research,2024,journal81,jv81
j82,2-s2.0-85182696785,Scientific Reports,2024,journal82,jv82
j83,2-s2.0-85185502177,Scientific Reports,2024,journal83,jv83
j84,2-s2.0-85185272179,Journal of Chinese Sociology,2024,journal84,jv84
j85,2-s2.0-85182684565,Nature Communications,2024,journal85,jv85
j86,2-s2.0-85185540777,Journal of Cloud Computing,2024,journal86,jv86
j87,2-s2.0-85185237420,Nature Communications,2024,journal87,jv87
j88,2-s2.0-85182981752,Scientific Reports,2024,journal88,jv88
j89,2-s2.0-85185916796,Experimental Hematology and Oncology,2024,journal89,jv89
j90,2-s2.0-85184268537,Nanomanufacturing and Metrology,2024,journal90,jv90
j91,2-s2.0-85185974339,Nature Communications,2024,journal91,jv91
j92,2-s2.0-85185496295,Scientific Reports,2024,journal92,jv92
j93,2-s2.0-85183607198,Nature Communications,2024,journal93,jv93
j94,2-s2.0-85183827137,Malaria Journal,2024,journal94,jv94
j95,2-s2.0-85183605696,Nature Communications,2024,journal95,jv95
j96,2-s2.0-85185329612,BMC Surgery,2024,journal96,jv96
j97,2-s2.0-85185124499,BMC Medical Informatics and Decision Making,2024,journal97,jv97
j98,2-s2.0-85183406078,Nature Communications,2024,journal98,jv98
j99,2-s2.0-85183911168,Nature Communications,2024,journal99,jv99
j100,2-s2.0-85181257279,npj Aging,2024,journal100,jv100
j101,2-s2.0-85183127918,Journal of Environmental Sciences (China),2024,journal101,jv101
j102,2-s2.0-85181852184,Journal of Cloud Computing,2024,journal102,jv102
j103,2-s2.0-85181874649,Journal of Big Data,2024,journal103,jv103
j104,2-s2.0-85185271303,Expert Systems with Applications,2024,journal104,jv104
j105,2-s2.0-85181230481,"Eurasip Journal on Audio, Speech, and Music Processing",2024,journal105,jv105
j106,2-s2.0-85181249092,Nature Communications,2024,journal106,jv106
j107,2-s2.0-85184619295,Environmental Science and Ecotechnology,2024,journal107,jv107
j108,2-s2.0-85181910320,Nature Communications,2024,journal108,jv108
j109,2-s2.0-85182462320,Journal of Cloud Computing,2024,journal109,jv109
j110,2-s2.0-85182193508,BMC Surgery,2024,journal110,jv110
j111,2-s2.0-85182199295,Nano-Micro Letters,2024,journal111,jv111
j112,2-s2.0-85185317859,Expert Systems with Applications,2024,journal112,jv112
j113,2-s2.0-85181758790,Cell Discovery,2024,journal113,jv113
j114,2-s2.0-85181669346,BMC Pulmonary Medicine,2024,journal114,jv114
j115,2-s2.0-85171991792,Journal of Integrated Science and Technology,2024,journal115,jv115
j116,2-s2.0-85183536890,Structural Change and Economic Dynamics,2024,journal116,jv116
j117,2-s2.0-85181686987,Nature Communications,2024,journal117,jv117
j118,2-s2.0-85185327699,Tsinghua Science and Technology,2024,journal118,jv118
j119,2-s2.0-85182463369,Nature Communications,2024,journal119,jv119
j120,2-s2.0-85182475629,Scientific Reports,2024,journal120,jv120
j121,2-s2.0-85182432140,Light: Science and Applications,2024,journal121,jv121
j122,2-s2.0-85180956161,Light: Science and Applications,2024,journal122,jv122
j123,2-s2.0-85184797583,Structural Change and Economic Dynamics,2024,journal123,jv123
j124,2-s2.0-85185318666,Tsinghua Science and Technology,2024,journal124,jv124
j125,2-s2.0-85181971249,Scientific Reports,2024,journal125,jv125
j126,2-s2.0-85182478105,Communications Biology,2024,journal126,jv126
j127,2-s2.0-85181704169,BMC Oral Health,2024,journal127,jv127
j128,2-s2.0-85178240017,Health Information Science and Systems,2024,journal128,jv128
j129,2-s2.0-85181946212,Cardiovascular Diabetology,2024,journal129,jv129
j130,2-s2.0-85176316602,Nano-Micro Letters,2024,journal130,jv130
j131,2-s2.0-85185550922,Expert Systems with Applications,2024,journal131,jv131
j132,2-s2.0-85184718924,Science Immunology,2024,journal132,jv132
j133,2-s2.0-85181453912,Communications Biology,2024,journal133,jv133
j134,2-s2.0-85185339170,Tsinghua Science and Technology,2024,journal134,jv134
j135,2-s2.0-85185566942,Expert Systems with Applications,2024,journal135,jv135
j136,2-s2.0-85181765585,Computational and Structural Biotechnology Journal,2024,journal136,jv136
j137,2-s2.0-85181462351,Nature Communications,2024,journal137,jv137
j138,2-s2.0-85181845969,BMC Genomics,2024,journal138,jv138
j139,2-s2.0-85185314600,Tsinghua Science and Technology,2024,journal139,jv139
j140,2-s2.0-85181499563,Nature Communications,2024,journal140,jv140
j141,2-s2.0-85184608108,Environmental Science and Ecotechnology,2024,journal141,jv141
j142,2-s2.0-85181481803,BMC Psychology,2024,journal142,jv142
j143,2-s2.0-85181583240,Nano-Micro Letters,2024,journal143,jv143
j144,2-s2.0-85181940968,BMC Geriatrics,2024,journal144,jv144
j145,2-s2.0-85181912099,Nature Communications,2024,journal145,jv145
j146,2-s2.0-85181661085,Humanities and Social Sciences Communications,2024,journal146,jv146
j147,2-s2.0-85181657545,Nature Communications,2024,journal147,jv147
j148,2-s2.0-85178441941,Nano-Micro Letters,2024,journal148,jv148
j149,2-s2.0-85182479889,Nature Communications,2024,journal149,jv149
j150,2-s2.0-85181469198,Nature Communications,2024,journal150,jv150
j151,2-s2.0-85182237959,Communications Earth and Environment,2024,journal151,jv151
j152,2-s2.0-85181259382,Communications Earth and Environment,2024,journal152,jv152
j153,2-s2.0-85177184159,Nano-Micro Letters,2024,journal153,jv153
j154,2-s2.0-85182395966,"Eurasip Journal on Audio, Speech, and Music Processing",2024,journal154,jv154
j155,2-s2.0-85181922628,Humanities and Social Sciences Communications,2024,journal155,jv155
j156,2-s2.0-85180130101,Nano-Micro Letters,2024,journal156,jv156
j157,2-s2.0-85181234488,Nature Communications,2024,journal157,jv157
j158,2-s2.0-85181253046,Nature Communications,2024,journal158,jv158
j159,2-s2.0-85181966846,Scientific Reports,2024,journal159,jv159
j160,2-s2.0-85182157173,Scientific Reports,2024,journal160,jv160
j161,2-s2.0-85181736060,Communications Earth and Environment,2024,journal161,jv161
j162,2-s2.0-85185338542,Tsinghua Science and Technology,2024,journal162,jv162
j163,2-s2.0-85185244599,Expert Systems with Applications,2024,journal163,jv163
j164,2-s2.0-85181747596,Humanities and Social Sciences Communications,2024,journal164,jv164
j165,2-s2.0-85181247722,Nature Communications,2024,journal165,jv165
j166,2-s2.0-85181707564,Nature Communications,2024,journal166,jv166
j167,2-s2.0-85181243236,Genome Medicine,2024,journal167,jv167
j168,2-s2.0-85181869817,Chinese Journal of Mechanical Engineering (English Edition),2024,journal168,jv168
j169,2-s2.0-85181239146,Humanities and Social Sciences Communications,2024,journal169,jv169
j170,2-s2.0-85181944663,BMC Infectious Diseases,2024,journal170,jv170
j171,2-s2.0-85185550958,Expert Systems with Applications,2024,journal171,jv171
j172,2-s2.0-85181254127,Nature Communications,2024,journal172,jv172
j173,2-s2.0-85181232476,Geoscience Letters,2024,journal173,jv173
j174,2-s2.0-85180368622,Frontiers of Computer Science,2024,journal174,jv174
j175,2-s2.0-85182418756,Nature Communications,2024,journal175,jv175
j176,2-s2.0-85181934224,npj Precision Oncology,2024,journal176,jv176
j177,2-s2.0-85183462128,Journal of Environmental Sciences (China),2024,journal177,jv177
j178,2-s2.0-85181243295,Scientific Reports,2024,journal178,jv178
j179,2-s2.0-85185332569,Tsinghua Science and Technology,2024,journal179,jv179
j180,2-s2.0-85182101855,BMC Oral Health,2024,journal180,jv180
j181,2-s2.0-85181247648,Scientific Reports,2024,journal181,jv181
j182,2-s2.0-85182096496,Nature Communications,2024,journal182,jv182
j183,2-s2.0-85173776870,International Journal of Intelligent Systems and Applications in Engineering,2024,journal183,jv183
j184,2-s2.0-85185484184,Journal of Advanced Research in Applied Sciences and Engineering Technology,2024,journal184,jv184
j185,2-s2.0-85181907403,Nature Communications,2024,journal185,jv185
j186,2-s2.0-85181904256,Nature Communications,2024,journal186,jv186
j187,2-s2.0-85181233494,Nature Communications,2024,journal187,jv187
j188,2-s2.0-85183465085,Journal of Environmental Sciences (China),2024,journal188,jv188
j189,2-s2.0-85181902478,npj Parkinson's Disease,2024,journal189,jv189
j190,2-s2.0-85181499873,Microbiome,2024,journal190,jv190
j191,2-s2.0-85181685202,Nature Communications,2024,journal191,jv191
j192,2-s2.0-85181234626,Journal of Cloud Computing,2024,journal192,jv192
j193,2-s2.0-85177479751,Nano-Micro Letters,2024,journal193,jv193
j194,2-s2.0-85186118924,Expert Systems with Applications,2024,journal194,jv194
j195,2-s2.0-85181473154,Journal of Chinese Sociology,2024,journal195,jv195
j196,2-s2.0-85180916370,Journal of Experimental and Clinical Cancer Research,2024,journal196,jv196
j197,2-s2.0-85181901552,Financial Innovation,2024,journal197,jv197
j198,2-s2.0-85181237108,Nature Communications,2024,journal198,jv198
j199,2-s2.0-85182101071,European Journal of Medical Research,2024,journal199,jv199
j200,2-s2.0-85184517798,Engineered Regeneration,2024,journal200,jv200
j201,2-s2.0-85180532348,Journal of Materials Science and Technology,2024,journal201,jv201
j202,2-s2.0-85185292243,Tsinghua Science and Technology,2024,journal202,jv202
j203,2-s2.0-85186118487,Separation and Purification Technology,2024,journal203,jv203
j204,2-s2.0-85184142684,Optics and Laser Technology,2024,journal204,jv204
j205,2-s2.0-85185269191,Tsinghua Science and Technology,2024,journal205,jv205
j206,2-s2.0-85180500113,Journal of Materials Science and Technology,2024,journal206,jv206
j207,2-s2.0-85181068284,Expert Systems with Applications,2024,journal207,jv207
j208,2-s2.0-85184995987,Engineering Applications of Artificial Intelligence,2024,journal208,jv208
j209,2-s2.0-85185294816,Tsinghua Science and Technology,2024,journal209,jv209
j210,2-s2.0-85185538059,Case Studies in Construction Materials,2024,journal210,jv210
j211,2-s2.0-85179080440,IEEE Transactions on Applied Superconductivity,2024,journal211,jv211
j212,2-s2.0-85183205605,Food Chemistry,2024,journal212,jv212
j213,2-s2.0-85185809999,Review of Economic Dynamics,2024,journal213,jv213
j214,2-s2.0-85184362080,Journal of Turbomachinery,2024,journal214,jv214
j215,2-s2.0-85180542960,Case Studies in Construction Materials,2024,journal215,jv215
j216,2-s2.0-85184477578,Expert Systems with Applications,2024,journal216,jv216
j217,2-s2.0-85179009891,Case Studies in Construction Materials,2024,journal217,jv217
j218,2-s2.0-85185313011,Tsinghua Science and Technology,2024,journal218,jv218
j219,2-s2.0-85183454142,Case Studies in Construction Materials,2024,journal219,jv219
j220,2-s2.0-85185814371,Journal of Building Engineering,2024,journal220,jv220
j221,2-s2.0-85185465532,Learning and Instruction,2024,journal221,jv221
j222,2-s2.0-85182913692,Expert Systems with Applications,2024,journal222,jv222
j223,2-s2.0-85179389350,Environmental Science and Ecotechnology,2024,journal223,jv223
j224,2-s2.0-85185846177,Astroparticle Physics,2024,journal224,jv224
j225,2-s2.0-85185275121,Separation and Purification Technology,2024,journal225,jv225
j226,2-s2.0-85185528521,Engineering Applications of Artificial Intelligence,2024,journal226,jv226
j227,2-s2.0-85185273620,Tsinghua Science and Technology,2024,journal227,jv227
j228,2-s2.0-85185194758,Tsinghua Science and Technology,2024,journal228,jv228
j229,2-s2.0-85186084674,Sustainable Horizons,2024,journal229,jv229
j230,2-s2.0-85183577996,Case Studies in Construction Materials,2024,journal230,jv230
j231,2-s2.0-85185535845,Carbohydrate Polymers,2024,journal231,jv231
j232,2-s2.0-85185312718,Tsinghua Science and Technology,2024,journal232,jv232
j233,2-s2.0-85185532334,International Journal of Heat and Mass Transfer,2024,journal233,jv233
j234,2-s2.0-85184751018,Information Fusion,2024,journal234,jv234
j235,2-s2.0-85184519709,Precision Engineering,2024,journal235,jv235
j236,2-s2.0-85185848112,Journal of Building Engineering,2024,journal236,jv236
j237,2-s2.0-85182145167,Journal of Mathematical Analysis and Applications,2024,journal237,jv237
j238,2-s2.0-85185835203,Journal of Building Engineering,2024,journal238,jv238
j239,2-s2.0-85185287743,Tsinghua Science and Technology,2024,journal239,jv239
j240,2-s2.0-85183998083,Case Studies in Construction Materials,2024,journal240,jv240
j241,2-s2.0-85185840854,Journal of Building Engineering,2024,journal241,jv241
j242,2-s2.0-85185282339,Tsinghua Science and Technology,2024,journal242,jv242
j243,2-s2.0-85184071558,Applied Catalysis B: Environmental,2024,journal243,jv243
j244,2-s2.0-85182395378,Optics and Laser Technology,2024,journal244,jv244
j245,2-s2.0-85185581937,Carbon Capture Science and Technology,2024,journal245,jv245
j246,2-s2.0-85185196409,Tsinghua Science and Technology,2024,journal246,jv246
j247,2-s2.0-85179617179,Environmental Science and Ecotechnology,2024,journal247,jv247
j248,2-s2.0-85184248477,Nano Research Energy,2024,journal248,jv248
j249,2-s2.0-85185884009,Applied Catalysis B: Environmental,2024,journal249,jv249
j250,2-s2.0-85182891404,Separation and Purification Technology,2024,journal250,jv250
j251,2-s2.0-85184824720,Separation and Purification Technology,2024,journal251,jv251
j252,2-s2.0-85179466658,Case Studies in Construction Materials,2024,journal252,jv252
j253,2-s2.0-85185289037,Tsinghua Science and Technology,2024,journal253,jv253
j254,2-s2.0-85185310993,Applied Catalysis B: Environmental,2024,journal254,jv254
j255,2-s2.0-85184342897,Applied Catalysis B: Environmental,2024,journal255,jv255
j256,2-s2.0-85185608461,Applied Catalysis B: Environmental,2024,journal256,jv256
j257,2-s2.0-85185197049,Tsinghua Science and Technology,2024,journal257,jv257
j258,2-s2.0-85184586401,Fuel,2024,journal258,jv258
j259,2-s2.0-85183577318,Case Studies in Construction Materials,2024,journal259,jv259
j260,2-s2.0-85185832192,International Journal of Electrical Power and Energy Systems,2024,journal260,jv260
j261,2-s2.0-85181118530,Journal of Environmental Sciences (China),2024,journal261,jv261
j262,2-s2.0-85183978030,Separation and Purification Technology,2024,journal262,jv262
j263,2-s2.0-85184388530,Frontiers of Physics,2024,journal263,jv263
j264,2-s2.0-85185313465,Tsinghua Science and Technology,2024,journal264,jv264
j265,2-s2.0-85186118831,Journal of Building Engineering,2024,journal265,jv265
j266,2-s2.0-85184570081,Separation and Purification Technology,2024,journal266,jv266
j267,2-s2.0-85184221031,Nano Research Energy,2024,journal267,jv267
j268,2-s2.0-85185179460,Manufacturing Letters,2024,journal268,jv268
j269,2-s2.0-85185268230,Tsinghua Science and Technology,2024,journal269,jv269
j270,2-s2.0-85182029381,Journal of Environmental Sciences (China),2024,journal270,jv270
j271,2-s2.0-85182565590,Environmental Science and Ecotechnology,2024,journal271,jv271
j272,2-s2.0-85184999772,Energy Reports,2024,journal272,jv272
j273,2-s2.0-85183450381,Expert Systems with Applications,2024,journal273,jv273
j274,2-s2.0-85185561869,Synthetic and Systems Biotechnology,2024,journal274,jv274
j275,2-s2.0-85180709676,Journal of Environmental Sciences (China),2024,journal275,jv275
j276,2-s2.0-85185838069,Engineering Applications of Artificial Intelligence,2024,journal276,jv276
j277,2-s2.0-85152659115,Energy and Built Environment,2024,journal277,jv277
j278,2-s2.0-85185832241,Atmospheric Research,2024,journal278,jv278
j279,2-s2.0-85181777461,Journal of Materials Science and Technology,2024,journal279,jv279
j280,2-s2.0-85186112161,Applied Ergonomics,2024,journal280,jv280
j281,2-s2.0-85171578649,Energy and Built Environment,2024,journal281,jv281
j282,2-s2.0-85184520672,Engineering Applications of Artificial Intelligence,2024,journal282,jv282
j283,2-s2.0-85186112703,Annals of Nuclear Energy,2024,journal283,jv283
j284,2-s2.0-85185182324,Information Fusion,2024,journal284,jv284
j285,2-s2.0-85179588262,Journal of Materials Science and Technology,2024,journal285,jv285
j286,2-s2.0-85185535367,Journal of Building Engineering,2024,journal286,jv286
j287,2-s2.0-85184145626,Engineering Applications of Artificial Intelligence,2024,journal287,jv287
j288,2-s2.0-85185892974,Journal of Energy Chemistry,2024,journal288,jv288
j289,2-s2.0-85184233111,Nano Research Energy,2024,journal289,jv289
j290,2-s2.0-85185517670,Separation and Purification Technology,2024,journal290,jv290
j291,2-s2.0-85185253686,Tsinghua Science and Technology,2024,journal291,jv291
j292,2-s2.0-85184149825,Journal of Mechanisms and Robotics,2024,journal292,jv292
j293,2-s2.0-85180999682,Environmental Science and Ecotechnology,2024,journal293,jv293
j294,2-s2.0-85184884577,International Journal of Heat and Mass Transfer,2024,journal294,jv294
j295,2-s2.0-85185794389,Journal of Combinatorial Theory. Series B,2024,journal295,jv295
j296,2-s2.0-85184226024,Nano Research Energy,2024,journal296,jv296
j297,2-s2.0-85181733296,Expert Systems with Applications,2024,journal297,jv297
j298,2-s2.0-85185498624,Acta Mechanica Sinica/Lixue Xuebao,2024,journal298,jv298
j299,2-s2.0-85185252635,Tsinghua Science and Technology,2024,journal299,jv299
j300,2-s2.0-85181536916,Separation and Purification Technology,2024,journal300,jv300
j301,2-s2.0-85181586458,Experimental and Computational Multiphase Flow,2024,journal301,jv301
j302,2-s2.0-85183470049,Engineering Applications of Artificial Intelligence,2024,journal302,jv302
j303,2-s2.0-85181586736,Experimental and Computational Multiphase Flow,2024,journal303,jv303
j304,2-s2.0-85184207846,Nano Research Energy,2024,journal304,jv304
j305,2-s2.0-85183957660,Journal of Building Engineering,2024,journal305,jv305
j306,2-s2.0-85177847665,Journal of Materials Science and Technology,2024,journal306,jv306
j307,2-s2.0-85165879107,IEEE Transactions on Industrial Electronics,2024,journal307,jv307
j308,2-s2.0-85184574351,Environmental Research,2024,journal308,jv308
j309,2-s2.0-85181754483,Experimental and Computational Multiphase Flow,2024,journal309,jv309
j310,2-s2.0-85181968666,Journal of the European Ceramic Society,2024,journal310,jv310
j311,2-s2.0-85182871625,Journal of Food Engineering,2024,journal311,jv311
j312,2-s2.0-85179582783,Tsinghua Science and Technology,2024,journal312,jv312
j313,2-s2.0-85184816257,Applied Surface Science,2024,journal313,jv313
j314,2-s2.0-85180535049,Expert Systems with Applications,2024,journal314,jv314
j315,2-s2.0-85184218993,Nano Research Energy,2024,journal315,jv315
j316,2-s2.0-85184006979,Journal of Differential Equations,2024,journal316,jv316
j317,2-s2.0-85182353321,Sustainable Horizons,2024,journal317,jv317
j318,2-s2.0-85179619923,Expert Systems with Applications,2024,journal318,jv318
j319,2-s2.0-85179688371,Annals of PDE,2024,journal319,jv319
j320,2-s2.0-85183179804,Food Chemistry,2024,journal320,jv320
j321,2-s2.0-85181924950,Science of Remote Sensing,2024,journal321,jv321
j322,2-s2.0-85179583582,Tsinghua Science and Technology,2024,journal322,jv322
j323,2-s2.0-85183456549,Annals of Nuclear Energy,2024,journal323,jv323
j324,2-s2.0-85179588234,Tsinghua Science and Technology,2024,journal324,jv324
j325,2-s2.0-85179583742,Tsinghua Science and Technology,2024,journal325,jv325
j326,2-s2.0-85185401196,Applied Surface Science,2024,journal326,jv326
j327,2-s2.0-85185537635,Talanta,2024,journal327,jv327
j328,2-s2.0-85181582314,Experimental and Computational Multiphase Flow,2024,journal328,jv328
j329,2-s2.0-85166328634,IEEE Transactions on Industrial Electronics,2024,journal329,jv329
j330,2-s2.0-85164424784,IEEE Transactions on Industrial Electronics,2024,journal330,jv330
j331,2-s2.0-85161005004,IEEE Transactions on Industrial Electronics,2024,journal331,jv331
j332,2-s2.0-85180373262,Applied Catalysis B: Environmental,2024,journal332,jv332
j333,2-s2.0-85182885022,Carbon Capture Science and Technology,2024,journal333,jv333
j334,2-s2.0-85179586847,Tsinghua Science and Technology,2024,journal334,jv334
j335,2-s2.0-85180414536,Separation and Purification Technology,2024,journal335,jv335
j336,2-s2.0-85179586848,Tsinghua Science and Technology,2024,journal336,jv336
j337,2-s2.0-85182448330,Separation and Purification Technology,2024,journal337,jv337
j338,2-s2.0-85179586164,Tsinghua Science and Technology,2024,journal338,jv338
j339,2-s2.0-85181583650,Experimental and Computational Multiphase Flow,2024,journal339,jv339
j340,2-s2.0-85181585417,Experimental and Computational Multiphase Flow,2024,journal340,jv340
j341,2-s2.0-85165898717,IEEE Transactions on Industrial Electronics,2024,journal341,jv341
j342,2-s2.0-85180553355,Separation and Purification Technology,2024,journal342,jv342
j343,2-s2.0-85179584378,Tsinghua Science and Technology,2024,journal343,jv343
j344,2-s2.0-85184204335,Nano Research Energy,2024,journal344,jv344
j345,2-s2.0-85181976138,Applied Catalysis B: Environmental,2024,journal345,jv345
j346,2-s2.0-85186142252,Frontiers of Chemical Science and Engineering,2024,journal346,jv346
j347,2-s2.0-85179581540,Tsinghua Science and Technology,2024,journal347,jv347
j348,2-s2.0-85182405871,Applied Catalysis B: Environmental,2024,journal348,jv348
j349,2-s2.0-85179843466,Expert Systems with Applications,2024,journal349,jv349
j350,2-s2.0-85183048016,Desalination,2024,journal350,jv350
j351,2-s2.0-85183454323,Bioelectrochemistry,2024,journal351,jv351
j352,2-s2.0-85184190281,Nano Research Energy,2024,journal352,jv352
j353,2-s2.0-85179585975,Tsinghua Science and Technology,2024,journal353,jv353
j354,2-s2.0-85181974102,Structural Change and Economic Dynamics,2024,journal354,jv354
j355,2-s2.0-85183450236,Information Fusion,2024,journal355,jv355
j356,2-s2.0-85181139520,Applied Catalysis B: Environmental,2024,journal356,jv356
j357,2-s2.0-85184157338,Nano Research Energy,2024,journal357,jv357
j358,2-s2.0-85179582468,Tsinghua Science and Technology,2024,journal358,jv358
j359,2-s2.0-85181104701,Separation and Purification Technology,2024,journal359,jv359
j360,2-s2.0-85179586025,Tsinghua Science and Technology,2024,journal360,jv360
j361,2-s2.0-85185540073,Journal of Physics D: Applied Physics,2024,journal361,jv361
j362,2-s2.0-85180986883,Food Chemistry,2024,journal362,jv362
j363,2-s2.0-85184183120,Nano Research Energy,2024,journal363,jv363
j364,2-s2.0-85165291341,IEEE Transactions on Industrial Electronics,2024,journal364,jv364
j365,2-s2.0-85178663618,Expert Systems with Applications,2024,journal365,jv365
j366,2-s2.0-85179585171,Tsinghua Science and Technology,2024,journal366,jv366
j367,2-s2.0-85183462978,Information Fusion,2024,journal367,jv367
j368,2-s2.0-85183425703,Separation and Purification Technology,2024,journal368,jv368
j369,2-s2.0-85181870761,Journal of Computational and Applied Mathematics,2024,journal369,jv369
j370,2-s2.0-85184011167,Desalination,2024,journal370,jv370
j371,2-s2.0-85179585841,Tsinghua Science and Technology,2024,journal371,jv371
j372,2-s2.0-85179585722,Tsinghua Science and Technology,2024,journal372,jv372
