topicID,topicName
t316,biodiversity
t317,Boron nitride
t318,Dielectric properties
t319,III-V semiconductors
t320,Controllable music generation
t321,Diverse range
t322,Electric generators
t323,Energy harvesting
t324,Functional materials
t325,DNA Damage
t326,DNA Primase
t327,DNA Replication
t328,Acetylation
t329,B-Lymphocytes
t330,Antimicrobial Peptides
t331,bedrock
t332,dislocation
t333,Sahara
t334,atmospheric circulation
t335,cloud cover
t336,Complex networks
t337,Forecasting
t338,Combinatorial optimization
t339,Nucleosomes
t340,Ascomycota
t341,Brain Neoplasms
t342,Cell Proliferation
t343,Epithelial Cells
t344,Autonomous vehicles
t345,Antiviral Agents
t346,Customer satisfaction
t347,Adipocytes
t348,Fatty Acids
t349,Qinghai-Xizang Plateau
t350,computer simulation
t351,Graph theory
t352,Recommender systems
t353,User profile
t354,free radical
t355,gold nanoparticle
t356,hydroxyl radical
t357,"2 ((4 (2,3 dichlorophenyl)piperazin 1 yl)(pyridin 3 yl)methyl) phenol"
t358,anaphase promoting complex
t359,antineoplastic agent
t360,Beijing [Beijing (ADS)]
t361,gasoline
t362,Information retrieval
t363,Data capability
t364,Computer-Aided Design
t365,Crowns
t366,Dental Prosthesis Design
t367,Drowning
t368,carbon nanotube
t369,molecular layer
t370,nanolattice
t371,acid anhydride
t372,microplastic
t373,copper
t374,metal nanoparticle
t375,Cell Differentiation
t376,Germ Cells
t377,Carbon dioxide
t378,Chemical oxygen demand
t379,CRISPR associated endonuclease Cas9
t380,diethyl pyrocarbonate
t381,Bicycling
t382,Agriculture
t383,"Crops, Agricultural"
t384,Cloud computing
t385,Dynamics
t386,Electric loads
t387,Catalysts
t388,Doping (additives)
t389,Lithium
t390,Decision making
t391,Graphic methods
t392,beta Catenin
t393,crystal structure
t394,"Abortion, Spontaneous"
t395,Embryo Transfer
t396,Cell engineering
t397,Hydrogels
t398,Nanofibers
t399,Feldspar
t400,Fluorspar
t401,Application programming interfaces (API)
t402,Big data
t403,Cluster computing
t404,Gases
t405,Hydrodynamics
t406,Mass transfer
t407,Image resolution
t408,Imaging systems
t409,Axial resolutions
t410,Image representation
t411,Iterative methods
t412,Restoration
t413,Aluminum corrosion
t414,Binary alloys
t415,Corrosion resistance
t416,Face recognition
t417,Genes
t418,Adaptive boosting
t419,Carbonation
t420,Concrete aggregates
t421,Concrete mixtures
t422,Fabrication
t423,Lead alloys
t424,Clustered Regularly Interspaced Short Palindromic Repeats
t425,Food Quality
t426,Aerodynamics
t427,Aeroelasticity
t428,Elastic waves
t429,Fracture toughness
t430,High strength steel
t431,Impact strength
t432,Diagnosis
t433,Graph neural networks
t434,Calcium silicate
t435,Dynamic programming
t436,Grinding (machining)
t437,Cost effectiveness
t438,Efficiency
t439,Information services
t440,Bearing capacity
t441,Composite structures
t442,Cracks
t443,Architectural design
t444,Balancing
t445,Energy efficiency
t446,Bismuth compounds
t447,Digital libraries
t448,Long short-term memory
t449,Calibration
t450,Dark Matter
t451,Galaxies
t452,Database systems
t453,Generative adversarial networks
t454,Box office
t455,Differential algorithms
t456,Multilayer neural networks
t457,Optical resolving power
t458,Cost benefit analysis
t459,Damage detection
t460,Adhesives
t461,Biosynthesis
t462,Chitin
t463,Data privacy
t464,Fog computing
t465,Health care
t466,Thermal conductivity
t467,Bayesian optimization
t468,Conductivity distributions
t469,IIR filters
t470,Turning
t471,Control schemes
t472,Concrete testing
t473,Fiber reinforced materials
t474,Fibers
t475,Compression testing
t476,Grouting
t477,Brain
t478,Acoustic emission testing
t479,Rocks
t480,Axial compression
t481,Precast concrete
t482,Bayesian networks
t483,Inference engines
t484,Learning algorithms
t485,Light extinction
t486,Light modulators
t487,Microresonators
t488,Construction
t489,Construction industry
t490,Cost reduction
t491,Carbonates
t492,Catalysis
t493,Catalytic reforming
t494,Disasters
t495,Ductility
t496,Lithology
t497,Petroleum prospecting
t498,Base stations
t499,Energy utilization
t500,High performance concrete
t501,Crime
t502,Losses
t503,Flame retardants
t504,Neurons
t505,Automation
t506,Magnetic field measurement
t507,Magnetic fields
t508,Air quality
t509,Milling (machining)
t510,Anti-counterfeiting
t511,Colouration
t512,Decision method
t513,Edge device
t514,Evolution process
t515,Health risks
t516,Buildings
t517,Computer software
t518,Consumer behavior
t519,amino acid sequence
t520,computer model
t521,Adsorption
t522,Chemicals removal (water treatment)
t523,Chromium compounds
t524,Benchmarking
t525,Control nonlinearities
t526,Feedforward control
t527,Air cleaners
t528,Correlation methods
t529,Guangdong
t530,Guangzhou
t531,Austenite
t532,Chemical stability
t533,Elongation
t534,Automated driving
t535,Conditional automated driving
t536,Earcons
t537,Emission control
t538,Energy conservation
t539,Environmental management
t540,Eye protection
t541,Neural network models
t542,Addition algorithms
t543,Discrete elements method
t544,Convolution
t545,Decoding
t546,Austenitic stainless steel
t547,Cells
t548,Cytology
t549,Concrete beams and girders
t550,Elastoplasticity
t551,Longitudinal control
t552,Catalyst selectivity
t553,Cobalt
t554,Copper compounds
t555,Edge detection
t556,Concretes
t557,Kinematics
t558,Computational complexity
t559,Gravity waves
t560,Heat convection
t561,Probability density function
t562,Boundary layers
t563,Electrochemical oxidation
t564,Heat transfer
t565,High speed cameras
t566,Indium compounds
t567,Autocorrelation
t568,Fault detection
t569,Flow velocity
t570,Hemodynamics
t571,Patents and inventions
t572,Lighting
t573,Cerium oxide
t574,Gadolinium compounds
t575,Ionic conduction in solids
t576,Accident prevention
t577,Accidents
t578,Adaptive control systems
t579,Density of gases
t580,Flow patterns
t581,Ferroelectricity
t582,Computational fluid dynamics
t583,Control systems
t584,Frequency modulation
t585,Modulators
t586,Radio transmission
t587,Binding energy
t588,Ionomers
t589,Crops
t590,Dynamic frequency scaling
t591,Degradation
t592,Dehydration
t593,Ethylene
t594,Multitasking
t595,Codes (symbols)
t596,Natural convection
t597,Nuclear reactor accidents
t598,Computer operating systems
t599,Display devices
t600,Embedded systems
t601,Nonionic surfactants
t602,Nucleation
t603,Antibodies
t604,Antigen-antibody reactions
t605,Body fluids
t606,Combustion
t607,Circuit simulation
t608,Fast Fourier transforms
t609,Navigation
t610,Reinforcement learning
t611,Electric current control
t612,Electric inverters
t613,Sliding mode control
t614,Catalyst activity
t615,Flow of gases
t616,Multiwalled carbon nanotubes (MWCN)
t617,Oxidation
t618,Binding sites
t619,Cadmium compounds
t620,Data sampling
t621,Federated learning
t622,Damping
t623,Viscosity
t624,Artificial viscosity
t625,Chemical reactors
t626,Fluid catalytic cracking
t627,Electric power transmission
t628,Equivalent circuits
t629,Power converters
t630,Authentication
t631,Authorization
t632,Cryptography
t633,Cobalt compounds
t634,Electronic structure
t635,Electrons
t636,Alcohols
t637,Catalyst supports
t638,Cyber Physical System
t639,Decontamination
t640,Biomolecules
t641,Biosensors
t642,Chemical detection
t643,Battery management systems
t644,Cost engineering
t645,Dynamometers
t646,birth rate
t647,environmental policy
t648,Atoms
t649,Coordination reactions
t650,Blockchain
t651,Computation offloading
t652,Adhesion
t653,Effluents
t654,Couplings
t655,Ising model
t656,Charged particles
t657,Gas Chromatography-Mass Spectrometry
t658,Lactones
t659,Odorants
t660,Closed loop systems
t661,Disturbance rejection
t662,Error compensation
t663,Facings
t664,Merging
t665,Control variable
t666,Internet of things
t667,Change detection
t668,Image fusion
t669,Intelligent systems
t670,Risk perception
t671,Deep neural networks
t672,Matrix algebra
t673,Satellite communication systems
t674,Block markov superposition transmission
t675,Embeddings
t676,Neural networks
t677,Robotics
t678,Concrete construction
t679,Earthquakes
t680,Feature Selection
t681,Cobalt Compounds
t682,Aspect ratio
t683,Axial loads
t684,Buckling
t685,Mortar
t686,Behavior policy
t687,long untranslated RNA
t688,RNA polymerase II
t689,Behavioral research
t690,Cooperative network reengineering
t691,Cooperative networks
t692,Acceleration
t693,Capillary flow
t694,Lakes
t695,Sensitivity analysis
t696,Capacity
t697,Biocompatibility
t698,Magnesium alloys
t699,Convergence of numerical methods
t700,Finite difference method
t701,Constraint programming
t702,India
t703,Durability
t704,Hydrogen
t705,Metal substrates
t706,Budget control
t707,Costs
t708,Density functional theory
t709,Layered semiconductors
t710,Monolayers
t711,Activation energy
t712,Association reactions
t713,Air
t714,Cabins (aircraft)
t715,5G mobile communication systems
t716,Bandwidth
t717,Cognitive radio
t718,Naphthalene
t719,Polyethylenes
t720,Soil testing
t721,Aircraft engines
t722,Electroplating
t723,ambient noise
t724,greenspace
t725,Economics
t726,Extraction
t727,Image processing
t728,Coremaking
t729,Electric currents
t730,Errors
t731,End effectors
t732,Geometry
t733,Pressure distribution
t734,Grain refinement
t735,Hardness
t736,Microstructure
t737,Electrophysiology
t738,Feature extraction
t739,Electric power system protection
t740,Electric power system stability
t741,Reliability
t742,Stiffness
t743,Vibrations (mechanical)
t744,Charging (batteries)
t745,Economic and social effects
t746,Electric load dispatching
t747,Cathodes
t748,Lithium compounds
t749,Carbon films
t750,Copper oxides
t751,Buffer layers
t752,Kinetic energy
t753,Aluminum
t754,Aluminum powder metallurgy
t755,Friction
t756,Machine learning
t757,Polymer matrix composites
t758,fluorescent dye
t759,vasculotropin inhibitor
t760,Phase equilibria
t761,Diffusion
t762,Nanocrystals
t763,Education computing
t764,Engineering education
t765,Intelligent robots
t766,Bending tests
t767,Bolts
t768,Failure modes
t769,Computing power
t770,Green computing
t771,Ceilings
t772,Fire protection
t773,Cavity resonators
t774,Delta modulation
t775,Calorimeters
t776,Barium compounds
t777,Finite element method
t778,Bacteria
t779,Biodiversity
t780,Numerical analysis
t781,Risk assessment
t782,Superconducting coils
t783,Disaster prevention
t784,Emergency services
t785,Nonlinear analysis
t786,Nonlinear equations
t787,Shear flow
t788,Electroluminescence
t789,Molecular physics
t790,Potential energy
t791,Aerogels
t792,Aramid fibers
t793,Fracture mechanics
t794,Detection
t795,Fluorescence
t796,Measuring Instruments
t797,HTTP
t798,Image reconstruction
t799,MEMS
t800,3D reconstruction
t801,Ball screws
t802,Controllers
t803,Shandong
t804,Yellow River Delta
t805,Activated carbon
t806,Bamboo
t807,Carbonization
t808,Bioinformatics
t809,Biomechanics
t810,Air navigation
t811,Antennas
t812,Autonomous agents
t813,Butt welding
t814,Constitutive models
t815,Die casting
t816,Dies
t817,High pressure effects
t818,Taiwan
t819,carbon monoxide
t820,Conversion efficiency
t821,Electronic equipment
t822,Blood vessels
t823,Asphalt
t824,Asphalt pavements
t825,Quality control
t826,3D printing
t827,Metamaterials
t828,Shape optimization
t829,Battery Pack
t830,Sand
t831,Sediment transport
t832,Sedimentation
t833,Fluorescence microscopy
t834,Amorphous silicon
t835,Economic analysis
t836,complexity
t837,composite
t838,concentration (composition)
t839,Feedback
t840,Integer programming
t841,Aerodynamic loads
t842,Numerical methods
t843,Numerical models
t844,Aerosols
t845,Air pollution
t846,Stability
t847,Climate change
t848,Climate models
t849,Decommissioning (nuclear reactors)
t850,Integrated circuits
t851,Low power electronics
t852,Quantum computers
t853,Dielectric materials
t854,Electric fields
t855,Triboelectricity
t856,Ferromagnetic materials
t857,Magnetic domains
t858,Chelation
t859,Chlorination
t860,Chlorine compounds
t861,Gradient methods
t862,Image coding
t863,Luminescence
t864,Nanoparticles
t865,Failure (mechanical)
t866,Membranes
t867,Grain boundaries
t868,Heuristic methods
t869,Optimization
t870,Boreholes
t871,Dissociation
t872,Dispersions
t873,Graphene
t874,Regression analysis
t875,Adaptive filtering
t876,Adaptive filters
t877,Cranes
t878,Bifurcation (mathematics)
t879,Drops
t880,Fluidic devices
t881,Ion exchange
t882,Ion exchange membranes
t883,Positive ions
t884,Binary mixtures
t885,Linear transformations
t886,Antagonistic interactions
t887,Critical current density (superconductivity)
t888,High temperature superconductors
t889,climate effect
t890,human activity
t891,Electric drives
t892,Voltage control
t893,Accelerator magnets
t894,Aluminum alloys
t895,Deterioration
t896,Elastic moduli
t897,Fiber optic sensors
t898,Insulating materials
t899,Insulation
t900,Environmental impact
t901,Gas emissions
t902,Cesium compounds
t903,Carbon capture
t904,Cements
t905,Biodegradation
t906,Biogeochemistry
t907,Atmospheric pressure
t908,Stem cells
t909,Temperature
t910,Brittle fracture
t911,Cladding (coating)
t912,Energy storage
t913,Dissolved Organic Matter
t914,Environmental Pollutants
t915,Ethinyl Estradiol
t916,Carrier mobility
t917,Tribology
t918,Beijing
t919,Signal detection
t920,Amplifier technologies
t921,Digital lock-in amplifier
t922,Cogeneration plants
t923,Earnings
t924,Electric energy storage
t925,Closed loop control systems
t926,Continuous time systems
t927,Anchorages (foundations)
t928,Bridge cables
t929,Carbon fiber reinforced plastics
t930,Cast iron
t931,Moisture
t932,Coherent imaging
t933,Coherent snapshot compressed imaging
t934,Composite phase
t935,Histology
t936,Nanogenerators
t937,Polarization-maintaining fiber
t938,Single mode fibers
t939,Infill drilling
t940,Cooling
t941,Information fusion
t942,Eigen-value
t943,Hermitian matrices
t944,Acetaminophen
t945,Atmospheric movements
t946,Reservoirs (water)
t947,Adhesion phenomena
t948,Knowledge management
t949,Flexible manipulators
t950,Coatings
t951,Delamination
t952,Network architecture
t953,Semantic Web
t954,Composite membranes
t955,Crosslinking
t956,Backpropagation
t957,Decay (organic)
t958,II-VI semiconductors
t959,STAT5 protein
t960,acute myeloid leukemia
t961,Air quality models
t962,CO emissions
t963,Demilitarized zones
t964,Condition monitoring
t965,Magnetic leakage
t966,Climatology
t967,Nonlinear programming
t968,Battery
t969,Compression stability
t970,Evolutionary algorithms
t971,Farms
t972,Industrial robots
t973,Linear systems
t974,Ductile fracture
t975,Coagulation
t976,Membrane fouling
t977,Ophthalmology
t978,Prosthetics
t979,Tissue
t980,Constrained optimization
t981,Masonry construction
t982,Actinides
t983,Complexation
t984,Bond strength (chemical)
t985,Chemical mechanical polishing
t986,Ionic strength
t987,Explosions
t988,Diaphragms
t989,Electrolysis
t990,Electrolytic cells
t991,Computational linguistics
t992,Natural language processing systems
t993,ACE
t994,Capacitance
t995,Induction motors
t996,Linear motors
t997,Motion control
t998,Winding
t999,Encoding (symbols)
t1000,Immunology
t1001,Dynamic models
t1002,Amplification
t1003,Attribute reduction
t1004,Energy gap
t1005,Free energy
t1006,Phase transitions
t1007,Equivalence classes
t1008,Formal verification
t1009,Constrained devices
t1010,Fish
t1011,Fisheries
t1012,Fishways
t1013,Cognitive process
t1014,Conversation text
t1015,Emotion
t1016,Air entrainment
t1017,Fluidized beds
t1018,Bond strength (materials)
t1019,Military applications
t1020,Unmanned surface vehicles
t1021,Biomaterials
t1022,Metabolism
t1023,Pathology
t1024,Addition reactions
t1025,Bromine compounds
t1026,Iron compounds
t1027,Floors
t1028,Bending (deformation)
t1029,Bending (forming)
t1030,Curing
t1031,"Accidents, Traffic"
t1032,Attention
t1033,Automobile Driving
t1034,Air conditioning
t1035,Chemical bonds
t1036,Electrospinning
t1037,Ground state
t1038,Computational geometry
t1039,Crystal structure
t1040,Hydrogen storage
t1041,ABAQUS
t1042,Stress-strain curves
t1043,Lanthanum compounds
t1044,Electric connectors
t1045,Electric power transmission networks
t1046,Bismuth
t1047,Electrochemical sensors
t1048,Data reduction
t1049,Inverse problems
t1050,MIMO systems
t1051,Crystallites
t1052,Gallium compounds
t1053,Absorption spectroscopy
t1054,Cotton
t1055,Discriminant analysis
t1056,Cyclic loads
t1057,Earthquake engineering
t1058,Corrosion fatigue
t1059,Chemisorption
t1060,Hydrophobicity
t1061,Surface properties
t1062,carbon emission
t1063,Lubricating oils
t1064,Crystallization
t1065,Iron alloys
t1066,Coal deposits
t1067,Occupational risks
t1068,Cognitive ability
t1069,Antibiotics
t1070,Boring machines (machine tools)
t1071,Construction equipment
t1072,Greenhouse gases
t1073,Mianzhu
t1074,Sichuan
t1075,Crack detection
t1076,Distillation
t1077,NASA
t1078,Data acquisition
t1079,Digital arithmetic
t1080,Cooling systems
t1081,Electric vehicles
t1082,Machine design
t1083,Model predictive control
t1084,Land use
t1085,Risk management
t1086,Causal inferences
t1087,Construction safety
t1088,Ammonia
t1089,Biodegradability
t1090,Electric conductivity
t1091,Freezing
t1092,Frequency domain analysis
t1093,Blade gear
t1094,High-precision
t1095,Biofilms
t1096,Desalination
t1097,Microorganisms
t1098,adolescence
t1099,child health
t1100,Highway planning
t1101,Biomedical signal processing
t1102,Brain computer interface
t1103,Bandpass filters
t1104,Direct injection
t1105,Amides
t1106,Analytical models
t1107,Chemical modification
t1108,Coal
t1109,Image denoising
t1110,Biomimetics
t1111,Crystallinity
t1112,Metal recovery
t1113,Energy policy
t1114,Nuclear energy
t1115,Nuclear fuels
t1116,Bone Marrow Cells
t1117,CD4-Positive T-Lymphocytes
t1118,Amino acids
t1119,Environmental protection
t1120,Centrifugal pumps
t1121,Jitter
t1122,Low pass filters
t1123,Chemical equipment
t1124,Seals
t1125,Organic carbon
t1126,Sodium bicarbonate
t1127,Sodium Carbonate
t1128,Aggregates
t1129,Distribution functions
t1130,Computational electromagnetics
t1131,Computerized tomography
t1132,Excavation
t1133,Compressive strength
t1134,Context-Aware
t1135,Data augmentation
t1136,Decouplings
t1137,Calcination
t1138,Composite coatings
t1139,Chitosan
t1140,Boundary conditions
t1141,Anxiety
t1142,Backstepping
t1143,Permanent magnets
t1144,Approximation algorithms
t1145,Brain Concussion
t1146,Compressed sensing
t1147,Angular contact ball bearings
t1148,Elastohydrodynamic lubrication
t1149,Bearing modeling
t1150,Flow fields
t1151,Flow visualization
t1152,Fission reactions
t1153,Directed graphs
t1154,Cell death
t1155,Dielectric films
t1156,Decision theory
t1157,Cadmium
t1158,Calcium compounds
t1159,Bronze
t1160,Defects
t1161,Signal encoding
t1162,Laminated composites
t1163,Parameterization
t1164,Reliability analysis
t1165,Mesh generation
t1166,Stress concentration
t1167,high mobility group A1a protein
t1168,inhibitor of nuclear factor kappa B kinase subunit epsilon
t1169,Neutron sources
t1170,Radioactive materials
t1171,Radioactivity
t1172,Free radical reactions
t1173,Ball bearings
t1174,Flywheels
t1175,Blending
t1176,Fiber optics
t1177,Mergers and acquisitions
t1178,agricultural land
t1179,database
t1180,Heat sinks
t1181,Microchannels
t1182,Area of interest
t1183,Crystals
t1184,Fatigue of materials
t1185,"Child, Preschool"
t1186,biological age
t1187,clinical feature
t1188,Carbon fibers
t1189,Ethers
t1190,Hydroxyapatite
t1191,Ability testing
t1192,Alumina
t1193,Aluminum oxide
t1194,Carbides
t1195,Density of liquids
t1196,Drop formation
t1197,Solidification
t1198,Cables
t1199,Automated design
t1200,Alternative fuels
t1201,Brickmaking
t1202,Fluidization
t1203,Kalman filters
t1204,Acoustic fields
t1205,Ligands
t1206,Contact angle
t1207,Computer circuits
t1208,Logic gates
t1209,Discrete time control systems
t1210,Electric fault currents
t1211,Bearings (machine parts)
t1212,Load testing
t1213,Dielectric losses
t1214,Niobium compounds
t1215,Silicon alloys
t1216,Mixing
t1217,Heat storage
t1218,Musculoskeletal system
t1219,Air Microbiology
t1220,Disinfection
t1221,Feature propagation
t1222,Ill posed problem
t1223,Demolition
t1224,Heating rate
t1225,Induction heating
t1226,Hydrothermal synthesis
t1227,Gas cooled reactors
t1228,Acoustic wave scattering
t1229,Black holes
t1230,Rendering (computer graphics)
t1231,Three dimensional computer graphics
t1232,Collaborative robots
t1233,Indoor positioning systems
t1234,Mirrors
t1235,Dataset
t1236,Thermoelectric equipment
t1237,Optical radar
t1238,Chemical hazards
t1239,Sustainable development
t1240,Architecture
t1241,Image classification
t1242,Humidity control
t1243,Bridge decks
t1244,Ferromagnetism
t1245,Data visualization
t1246,Textures
t1247,Coarse to fine
t1248,Connectors (structural)
t1249,Beverages
t1250,Physicochemical properties
t1251,Flavonoids
t1252,Fiber lasers
t1253,Locks (fasteners)
t1254,Co-evolution
t1255,Cyclodextrins
t1256,Delivery
t1257,Communication satellites
t1258,Global positioning system
t1259,Gaussian distribution
t1260,Bilayer systems
t1261,Heat exchangers
t1262,Nusselt number
t1263,Aluminum compounds
t1264,Image segmentation
t1265,Tracking (position)
t1266,(RGB-D) and visible-thermal tracking
t1267,Experimental comparison
t1268,Bias voltage
t1269,Electron tunneling
t1270,Jacobian matrices
t1271,Absolute nodal coordinate formulation
t1272,Absolute nodal coordinates
t1273,ASTM standards
t1274,Dynamic loads
t1275,Mineralogy
t1276,Electromagnetic wave reflection
t1277,Image recognition
t1278,Antigen Presentation
t1279,Cytokines
t1280,Laser beams
t1281,Lenses
t1282,Semantics
t1283,Dissolved oxygen
t1284,Carbon nanotubes
t1285,Nuclear reactors
t1286,Cerium
t1287,Presentation rate
t1288,Pupil dilation
t1289,Pupil size
t1290,Concrete slabs
t1291,Copyrights
t1292,Laser beam welding
t1293,Optical waveguides
t1294,Titanium
t1295,3D modeling
t1296,Machine shop practice
t1297,Box girder bridges
t1298,Cable stayed bridges
t1299,Fuzzy sets
t1300,Normal distribution
t1301,Birefringence
t1302,Hematite
t1303,Linearization
t1304,Supervised learning
t1305,Contrastive learning
t1306,Harmonic analysis
t1307,Pulse width modulation
t1308,Common mode voltage
t1309,Mobile agents
t1310,Advanced Encryption Standard
t1311,Palmprint recognition
t1312,Jamming
t1313,Laser resonators
t1314,Pumping (laser)
t1315,Containers
t1316,Filling
t1317,Reinforcement
t1318,Cluster analysis
t1319,Circular cylinders
t1320,Drag
t1321,Fluid structure interaction
t1322,Prestressed concrete
t1323,Core business
t1324,Ceramic materials
t1325,Electron energy levels
t1326,Adversarial example
t1327,Black box attack
t1328,Black boxes
t1329,Reinforced concrete
t1330,Degassing
t1331,Metal ions
t1332,Microcracks
t1333,Reflection
t1334,Alkaline Phosphatase
t1335,Biosensing Techniques
t1336,Cloud storage
